redni_broj,name,voice_id,file,status
1,"Roger - Laid-Back, Casual, Resonant",CwhRBWXzGAHq8TQ4Fs17,output\audicija_glasova\01_roger_laid_back_casual_resonant_CwhRBWXz.mp3,OK
2,"Sarah - Mature, Reassuring, Confident",EXAVITQu4vr4xnSDxMaL,output\audicija_glasova\02_sarah_mature_reassuring_confident_EXAVITQu.mp3,OK
3,"Laura - Enthusiast, Quirky Attitude",FGY2WhTYpPnrIDTdsKH5,output\audicija_glasova\03_laura_enthusiast_quirky_attitude_FGY2WhTY.mp3,OK
4,"Charlie - Deep, Confident, Energetic",IKne3meq5aSn9XLyUdCD,output\audicija_glasova\04_charlie_deep_confident_energetic_IKne3meq.mp3,OK
5,"George - Warm, Captivating Storyteller",JBFqnCBsd6RMkjVDRZzb,output\audicija_glasova\05_george_warm_captivating_storyteller_JBFqnCBs.mp3,OK
6,Callum - Husky Trickster,N2lVS1w4EtoT3dr4eOWO,output\audicija_glasova\06_callum_husky_trickster_N2lVS1w4.mp3,OK
7,"River - Relaxed, Neutral, Informative",SAz9YHcvj6GT2YYXdXww,output\audicija_glasova\07_river_relaxed_neutral_informative_SAz9YHcv.mp3,OK
8,Harry - Fierce Warrior,SOYHLrjzK2X1ezoPC6cr,output\audicija_glasova\08_harry_fierce_warrior_SOYHLrjz.mp3,OK
9,"Liam - Energetic, Social Media Creator",TX3LPaxmHKxFdv7VOQHJ,output\audicija_glasova\09_liam_energetic_social_media_creator_TX3LPaxm.mp3,OK
10,"Alice - Clear, Engaging Educator",Xb7hH8MSUJpSbSDYk0k2,output\audicija_glasova\10_alice_clear_engaging_educator_Xb7hH8MS.mp3,OK
11,"Matilda - Knowledgable, Professional",XrExE9yKIg1WjnnlVkGX,output\audicija_glasova\11_matilda_knowledgable_professional_XrExE9yK.mp3,OK
12,Will - Relaxed Optimist,bIHbv24MWmeRgasZH58o,output\audicija_glasova\12_will_relaxed_optimist_bIHbv24M.mp3,OK
13,"Jessica - Playful, Bright, Warm",cgSgspJ2msm6clMCkdW9,output\audicija_glasova\13_jessica_playful_bright_warm_cgSgspJ2.mp3,OK
14,"Eric - Smooth, Trustworthy",cjVigY5qzO86Huf0OWal,output\audicija_glasova\14_eric_smooth_trustworthy_cjVigY5q.mp3,OK
15,"Bella - Professional, Bright, Warm",hpp4J3VqNfWAUOO0d1Us,output\audicija_glasova\15_bella_professional_bright_warm_hpp4J3Vq.mp3,OK
16,"Chris - Charming, Down-to-Earth",iP95p4xoKVk53GoZ742B,output\audicija_glasova\16_chris_charming_down_to_earth_iP95p4xo.mp3,OK
17,"Brian - Deep, Resonant and Comforting",nPczCjzI2devNBz1zQrb,output\audicija_glasova\17_brian_deep_resonant_and_comforting_nPczCjzI.mp3,OK
18,Daniel - Steady Broadcaster,onwK4e9ZLuTAKqWW03F9,output\audicija_glasova\18_daniel_steady_broadcaster_onwK4e9Z.mp3,OK
19,Lily - Velvety Actress,pFZP5JQG7iQjIQuC4Bku,output\audicija_glasova\19_lily_velvety_actress_pFZP5JQG.mp3,OK
20,"Adam - Dominant, Firm",pNInz6obpgDQGcFmaJgB,output\audicija_glasova\20_adam_dominant_firm_pNInz6ob.mp3,OK
21,"Bill - Wise, Mature, Balanced",pqHfZKP75CvOlQylNhV4,output\audicija_glasova\21_bill_wise_mature_balanced_pqHfZKP7.mp3,OK
22,"Tomislav - Calm, Clear and Narrative",O9XgmQnaZveORWl6mTHm,output\audicija_glasova\22_tomislav_calm_clear_and_narrative_O9XgmQna.mp3,OK
23,"Luka - Calm, Narrative",ZLYZToA7aDsMbHwM9AOr,output\audicija_glasova\23_luka_calm_narrative_ZLYZToA7.mp3,OK
24,"Nina - Calm, Warm & Resonant",FXlzTee7Zx2caYKIAwBF,output\audicija_glasova\24_nina_calm_warm_resonant_FXlzTee7.mp3,OK
