key,status,severity,note
clone_created,PASS,BLOCKER,"Private clone mora biti kreiran."
clone_private,PASS,BLOCKER,"Clone mora biti private."
clone_type,PASS,BLOCKER,"Clone mora biti dry_recipe."
source_unchanged,PASS,BLOCKER,"Source post 2697 ne smije biti promijenjen."
preview_mode,PASS,BLOCKER,"Preview mode mora biti PRIVATE_CLONE_ONLY."
source_link,PASS,BLOCKER,"Clone mora biti vezan na source 2697."
public_update_zero,PASS,BLOCKER,"Public update mora biti 0."
public_verified_zero,PASS,MAJOR,"Public verified mora biti 0."
recipe_id_present,PASS,BLOCKER,"Recipe ID mora biti upisan."
sections_present,PASS,BLOCKER,"Sections meta mora biti prisutan."
verified_process_present,PASS,BLOCKER,"Verified process meta mora biti prisutan."
full_markdown_present,PASS,MAJOR,"Full markdown meta mora biti prisutan."
not_publicly_exposed,PASS,BLOCKER,"Privatni clone ne smije biti javno izložen neprijavljenom korisniku."
