key,label,status,severity,note
source_unchanged,"Source 1982 nije mijenjan",PASS,BLOCKER,"Javni source mora ostati netaknut."
clone_private,"Clone je private",PASS,BLOCKER,"Clone mora biti private."
clone_type,"Clone je dry_recipe",PASS,BLOCKER,"Clone mora biti dry_recipe."
clone_source_link,"Clone je vezan na 1982",PASS,BLOCKER,"Source link mora biti 1982."
preview_mode,"Preview mode je PRIVATE_CLONE_ONLY",PASS,BLOCKER,"Clone mora ostati privatni preview."
public_update_0,"Public update je 0",PASS,BLOCKER,"Ne smije dopuštati javni update."
public_verified_0,"Public verified je 0",PASS,BLOCKER,"Ne smije biti public verified."
recipe_id,"Recipe ID je upisan",PASS,BLOCKER,"Recipe ID mora biti stabilan."
sections_present,"Sections meta postoji",PASS,MAJOR,"Sections moraju biti upisane."
process_present,"Verified process meta postoji",PASS,MAJOR,"Verified process mora biti upisan."
full_markdown_present,"Full markdown postoji",PASS,MAJOR,"Full markdown mora biti upisan."
not_publicly_exposed,"Clone nije javno izložen",PASS,BLOCKER,"Neprijavljeni javni fetch ne smije prikazati recept."
render_has_title,"Render ima naslov",PASS,MAJOR,"Interni render mora sadržavati naslov."
render_has_raw_materials,"Render ima sirovine",PASS,MAJOR,"Interni render mora sadržavati sirovine."
render_has_grinding,"Render ima mljevenje",PASS,MAJOR,"Interni render mora sadržavati mljevenje."
render_has_casing,"Render ima crijeva/ovitak",PASS,MAJOR,"Interni render mora sadržavati ovitak/crijeva."
render_has_process,"Render ima proces",PASS,MAJOR,"Interni render mora sadržavati proces."
render_has_problems,"Render ima probleme/rješenja",PASS,MAJOR,"Interni render mora sadržavati probleme i rješenja."
