key,label,status,severity,note
clone_private,"Clone 3535 je private",PASS,BLOCKER,"Admin-only preview bridge smije raditi samo na privatnom cloneu."
clone_type,"Clone 3535 je dry_recipe",PASS,BLOCKER,"Bridge ne smije raditi na drugim tipovima zapisa."
source_publish,"Source 3042 je publish",PASS,BLOCKER,"Source se ne smije dirati."
clone_preview_mode,"Clone ima PRIVATE_CLONE_ONLY",PASS,BLOCKER,"Bez ove oznake bridge ne smije raditi."
clone_source_link,"Clone je vezan na source 3042",PASS,BLOCKER,"Mora biti jasno vezan na source."
public_update_false,"Public update je 0",PASS,BLOCKER,"Bridge ne smije otvarati javni update tok."
public_verified_false,"Public verified je 0",PASS,BLOCKER,"Recept nije verificiran za javnu objavu."
has_recipe_id,"Clone ima _dry_recipe_id",PASS,MAJOR,"Meta normalizer je uspješno odradio minimalni ID."
has_full_markdown,"Clone ima _dry_recipe_full_markdown",PASS,MAJOR,"Bridge mora imati izvor sadržaja."
has_sections_json,"Clone ima _dry_recipe_sections",PASS,MAJOR,"Bridge može koristiti strukturirane sekcije."
has_process_json,"Clone ima _dry_verified_process",PASS,MAJOR,"Bridge može koristiti procesne podatke."
renderer_not_activated,"Post-patch renderer nije aktiviran",PASS,MAJOR,"Potvrđuje potrebu za bridge planom."
repo_plugin_exists,"Repo renderer plugin postoji",PASS,MAJOR,"Ne smijemo raditi novi dizajn bez pregleda postojećeg plugin sloja."
live_plugin_exists,"Live renderer plugin postoji",PASS,MAJOR,"Live i repo renderer moraju biti dostupni."
