meta_key,2976_exists,2976_length,3042_exists,3042_length,3535_exists,3535_length
_dry_recipe_id,YES,9,YES,37,NO,0
dry_recipe_id,NO,0,NO,0,NO,0
_recipe_id,NO,0,NO,0,NO,0
_dry_recipe_image_url,NO,0,NO,0,NO,0
_dry_recipe_full_markdown,YES,5856,YES,4123,YES,2682
_dry_recipe_sections,YES,6136,YES,8517,YES,5996
_dry_verified_process,YES,1611,NO,0,YES,1491
_dry_recipe_public_update_allowed,NO,0,NO,0,YES,1
_dry_recipe_public_verified,NO,0,NO,0,YES,1
_dry_recipe_preview_source_post_id,NO,0,NO,0,YES,4
_dry_recipe_preview_mode,NO,0,NO,0,YES,18
_dry_recipe_source_validation_status,NO,0,NO,0,YES,44
_dry_recipe_type_router,NO,0,NO,0,YES,21
