key,label,status,severity,note
clone_exists,"Privatni clone postoji",PASS,BLOCKER,"Clone ID mora postojati u WordPressu."
source_exists,"Javni source post postoji",PASS,BLOCKER,"Source post 3042 mora postojati."
clone_private,"Clone je private",PASS,BLOCKER,"Clone ne smije biti publish."
clone_type,"Clone je dry_recipe",PASS,BLOCKER,"Clone mora biti dry_recipe."
source_publish,"Source 3042 je publish",PASS,BLOCKER,"Source 3042 mora ostati javni publish recept."
source_type,"Source 3042 je dry_recipe",PASS,BLOCKER,"Source 3042 mora ostati dry_recipe."
source_unchanged,"Source 3042 nije mijenjan od clone stvaranja",PASS,BLOCKER,"Usporedba s result JSON-om iz trenutka clone stvaranja."
meta__dry_recipe_preview_mode,"Meta postoji: _dry_recipe_preview_mode",PASS,MAJOR,"Obvezni meta ključ za privatni preview clone."
meta__dry_recipe_preview_source_post_id,"Meta postoji: _dry_recipe_preview_source_post_id",PASS,MAJOR,"Obvezni meta ključ za privatni preview clone."
meta__dry_recipe_public_update_allowed,"Meta postoji: _dry_recipe_public_update_allowed",PASS,MAJOR,"Obvezni meta ključ za privatni preview clone."
meta__dry_recipe_dossier_status,"Meta postoji: _dry_recipe_dossier_status",PASS,MAJOR,"Obvezni meta ključ za privatni preview clone."
meta__dry_recipe_public_verified,"Meta postoji: _dry_recipe_public_verified",PASS,MAJOR,"Obvezni meta ključ za privatni preview clone."
meta__dry_recipe_source_validation_status,"Meta postoji: _dry_recipe_source_validation_status",PASS,MAJOR,"Obvezni meta ključ za privatni preview clone."
meta__dry_recipe_type_router,"Meta postoji: _dry_recipe_type_router",PASS,MAJOR,"Obvezni meta ključ za privatni preview clone."
meta__dry_recipe_adapter_payload_version,"Meta postoji: _dry_recipe_adapter_payload_version",PASS,MAJOR,"Obvezni meta ključ za privatni preview clone."
meta__dry_recipe_dossier_path,"Meta postoji: _dry_recipe_dossier_path",PASS,MAJOR,"Obvezni meta ključ za privatni preview clone."
meta__dry_recipe_active_blockers,"Meta postoji: _dry_recipe_active_blockers",PASS,MAJOR,"Obvezni meta ključ za privatni preview clone."
meta__dry_recipe_sections,"Meta postoji: _dry_recipe_sections",PASS,MAJOR,"Obvezni meta ključ za privatni preview clone."
meta__dry_verified_process,"Meta postoji: _dry_verified_process",PASS,MAJOR,"Obvezni meta ključ za privatni preview clone."
meta__dry_recipe_full_markdown,"Meta postoji: _dry_recipe_full_markdown",PASS,MAJOR,"Obvezni meta ključ za privatni preview clone."
meta_source_id,"Meta source ID je 3042",PASS,BLOCKER,"Clone mora biti vezan na source post 3042."
meta_public_update_0,"Meta public update allowed je 0",PASS,BLOCKER,"Privatni clone ne smije dopustiti javni update."
meta_public_verified_0,"Meta public verified je 0",PASS,BLOCKER,"Privatni clone ne smije biti public verified."
meta_preview_mode,"Meta preview mode je PRIVATE_CLONE_ONLY",PASS,BLOCKER,"Meta mora jasno označiti privatni clone."
meta_type_router,"Meta type router je GROUND_MEAT_OR_CASING",PASS,MAJOR,"Tipološka klasifikacija mora ostati kobasični model."
sections_json,"_dry_recipe_sections je valjan JSON",PASS,MAJOR,"Renderer/adapter očekuje čitljiv JSON."
verified_process_json,"_dry_verified_process je valjan JSON",PASS,MAJOR,"Proces mora biti čitljiv JSON."
active_blockers_json,"_dry_recipe_active_blockers je valjan JSON",PASS,MAJOR,"Blokade moraju biti čitljiv JSON."
full_markdown_length,"_dry_recipe_full_markdown ima sadržaj",PASS,MAJOR,"Markdown mora sadržavati radni prikaz recepta."
full_markdown_not_public,"Markdown označava privatni preview",PASS,MAJOR,"Privatni sadržaj mora biti jasno označen u dosjeu/cloneu."
private_not_publicly_exposed,"Privatni clone nije javno izložen kao recept",PASS,BLOCKER,"Ako HTTP 200 javno prikazuje naslov recepta, private zaštita nije dobra."
render_snapshot_title,"Render snapshot sadrži naslov",PASS,MINOR,"Interni render snapshot treba imati osnovni sadržaj."
