meta_key,2976_reference,3042_source,3535_clone
_dry_archive_ready,YES,YES,NO
_dry_calculator_ready,YES,YES,NO
_dry_canonical_batch,YES,NO,NO
_dry_canonical_status,YES,YES,NO
_dry_category,YES,YES,NO
_dry_country,YES,YES,NO
_dry_microregion,YES,YES,NO
_dry_product_type,YES,YES,NO
_dry_public_ready,YES,YES,NO
_dry_recipe_active_blockers,NO,NO,YES
_dry_recipe_adapter_payload_version,NO,NO,YES
_dry_recipe_dossier_path,NO,NO,YES
_dry_recipe_dossier_status,NO,NO,YES
_dry_recipe_full_markdown,YES,YES,YES
_dry_recipe_id,YES,YES,NO
_dry_recipe_import_version,YES,NO,NO
_dry_recipe_preview_mode,NO,NO,YES
_dry_recipe_preview_source_post_id,NO,NO,YES
_dry_recipe_previous_public_status,YES,NO,NO
_dry_recipe_private_clone_created_at_gmt,NO,NO,YES
_dry_recipe_private_clone_guard,NO,NO,YES
_dry_recipe_public_update_allowed,NO,NO,YES
_dry_recipe_public_verified,NO,NO,YES
_dry_recipe_sections,YES,YES,YES
_dry_recipe_source_audit_reason,YES,NO,NO
_dry_recipe_source_audit_status,YES,NO,NO
_dry_recipe_source_validation_status,NO,NO,YES
_dry_recipe_type_router,NO,NO,YES
_dry_recipe_view_status,YES,NO,NO
_dry_region,YES,YES,NO
_dry_source,YES,YES,NO
_dry_verified_process,YES,NO,YES
_dry_verified_process_cluster,YES,NO,NO
_dry_verified_process_date,YES,NO,NO
_dry_verified_process_master_id,YES,NO,NO
_dry_verified_process_version,YES,NO,NO
dry_recipe_code,YES,YES,NO
