post_id,title,url,post_status,detected_type,v1_1_final_type,v1_1_public_update_gate,v1_1_work_priority,v1_1_type_reason,v1_1_block_reasons,has_granulation,has_fat_handling,has_casing,has_brine_or_cure,has_thermal_process,has_thermal_params,has_cold_chain,has_smoking,has_drying,has_aging,has_nitrite,has_nitrite_note,has_fallback_internal
1988,SOPPRESSA VICENTINA,https://drycured.com/recepti-baza/soppressa-vicentina/,publish,GROUND_MEAT_OR_CASING,GROUND_MEAT_OR_CASING,FAIL,A_PUBLIC_BLOCKED,,NITRITE_WITHOUT_SAFETY_NOTE;PUBLIC_OR_META_INTERNAL_TEXT_HIT,1,1,1,1,0,1,1,1,1,1,1,0,1
1991,GUANCIALE ROMANO,https://drycured.com/recepti-baza/guanciale-romano/,publish,GROUND_MEAT_OR_CASING,WHOLE_CUT,FAIL,A_PUBLIC_BLOCKED,WHOLE_CUT_TITLE:guanciale,NITRITE_WITHOUT_SAFETY_NOTE;PUBLIC_OR_META_INTERNAL_TEXT_HIT,1,1,1,1,0,1,1,1,1,1,1,0,1
2018,Irska salama (Spiced Irish Salami),https://drycured.com/recepti-baza/irska-salama-spiced-irish-salami/,publish,GROUND_MEAT_OR_CASING,GROUND_MEAT_OR_CASING,FAIL,A_PUBLIC_BLOCKED,,NITRITE_WITHOUT_SAFETY_NOTE;PUBLIC_OR_META_INTERNAL_TEXT_HIT,1,1,1,1,1,1,1,1,1,1,1,0,1
2021,Cumberland kobasica,https://drycured.com/recepti-baza/cumberland-kobasica/,publish,GROUND_MEAT_OR_CASING,GROUND_MEAT_OR_CASING,FAIL,A_PUBLIC_BLOCKED,,PUBLIC_OR_META_INTERNAL_TEXT_HIT,1,1,1,1,1,1,1,1,1,1,0,0,1
2023,?? Grčki tradicionalni recept &#8211; Loukaniko,https://drycured.com/recepti-baza/grcki-tradicionalni-recept-loukaniko/,publish,GROUND_MEAT_OR_CASING,GROUND_MEAT_OR_CASING,FAIL,A_PUBLIC_BLOCKED,,PUBLIC_OR_META_INTERNAL_TEXT_HIT,1,1,1,1,0,1,1,1,1,1,0,0,1
2026,?? Španjolski recept za chorizo,https://drycured.com/recepti-baza/spanjolski-recept-za-chorizo/,publish,GROUND_MEAT_OR_CASING,GROUND_MEAT_OR_CASING,FAIL,A_PUBLIC_BLOCKED,,PUBLIC_OR_META_INTERNAL_TEXT_HIT,1,1,1,1,1,1,1,1,1,1,0,0,1
2028,Češki Špekáček (Špek Kobasica),https://drycured.com/recepti-baza/ceski-spekacek-spek-kobasica/,publish,GROUND_MEAT_OR_CASING,GROUND_MEAT_OR_CASING,FAIL,A_PUBLIC_BLOCKED,,NITRITE_WITHOUT_SAFETY_NOTE;PUBLIC_OR_META_INTERNAL_TEXT_HIT,1,1,1,1,1,1,1,1,1,1,1,0,1
2029,JAMBON DE BAYONNE,https://drycured.com/recepti-baza/jambon-de-bayonne/,publish,WHOLE_CUT,WHOLE_CUT,FAIL,A_PUBLIC_BLOCKED,WHOLE_CUT_TITLE:jambon,NITRITE_WITHOUT_SAFETY_NOTE;PUBLIC_OR_META_INTERNAL_TEXT_HIT,0,1,1,1,0,1,1,1,1,1,1,0,1
2032,Coppa (Kapula),https://drycured.com/recepti-baza/coppa-kapula/,publish,GROUND_MEAT_OR_CASING,WHOLE_CUT,FAIL,A_PUBLIC_BLOCKED,WHOLE_CUT_TITLE:coppa,PUBLIC_OR_META_INTERNAL_TEXT_HIT,1,1,1,1,0,1,1,1,1,1,0,0,1
2033,Andouille de Guémené,https://drycured.com/recepti-baza/andouille-de-guemene/,publish,GROUND_MEAT_OR_CASING,GROUND_MEAT_OR_CASING,FAIL,A_PUBLIC_BLOCKED,,PUBLIC_OR_META_INTERNAL_TEXT_HIT,1,1,1,1,1,1,1,1,1,1,0,0,1
