post_id,title,url,post_status,detected_type,v1_1_final_type,v1_1_public_update_gate,v1_1_work_priority,v1_1_type_reason,v1_1_block_reasons,has_granulation,has_fat_handling,has_casing,has_brine_or_cure,has_thermal_process,has_thermal_params,has_cold_chain,has_smoking,has_drying,has_aging,has_nitrite,has_nitrite_note,has_fallback_internal
1982,FINOCCHIONA TOSCANA,https://drycured.com/recepti-baza/finocchiona-toscana/,publish,GROUND_MEAT_OR_CASING,GROUND_MEAT_OR_CASING,PASS,B_PUBLIC_REVIEW_READY,,,1,1,1,1,1,1,1,1,1,1,1,1,0
1983,PROSCIUTTO DI SAN DANIELE,https://drycured.com/recepti-baza/prosciutto-di-san-daniele/,publish,WHOLE_CUT,WHOLE_CUT,PASS,B_PUBLIC_REVIEW_READY,"WHOLE_CUT_TITLE:prosciutto,san daniele",,0,1,1,1,0,1,1,1,1,1,1,1,0
1984,NDUJA CALABRESE,https://drycured.com/recepti-baza/nduja-calabrese/,publish,GROUND_MEAT_OR_CASING,GROUND_MEAT_OR_CASING,PASS,B_PUBLIC_REVIEW_READY,,,1,1,1,1,1,1,1,1,1,1,1,1,0
1986,LARDO DI COLONNATA,https://drycured.com/recepti-baza/lardo-di-colonnata/,publish,GROUND_MEAT_OR_CASING,WHOLE_CUT,PASS,B_PUBLIC_REVIEW_READY,WHOLE_CUT_TITLE:lardo,,1,1,1,1,0,1,1,1,1,1,0,0,0
1990,SALAME DI FELINO,https://drycured.com/recepti-baza/salame-di-felino/,publish,GROUND_MEAT_OR_CASING,GROUND_MEAT_OR_CASING,PASS,B_PUBLIC_REVIEW_READY,,,1,1,1,1,1,1,1,1,1,1,1,1,0
2037,Hangikjöt (Dimljeni janjeti but),https://drycured.com/recepti-baza/hangikjot-dimljeni-janjeti-but/,publish,GROUND_MEAT_OR_CASING,WHOLE_CUT,PASS,B_PUBLIC_REVIEW_READY,WHOLE_CUT_TITLE:dimljeni janjeti but,,1,1,1,1,0,1,1,1,1,1,0,0,0
2064,COPPA (CAPOCOLLO) &#8211; TALIJANSKA VRATINA,https://drycured.com/recepti-baza/coppa-capocollo-talijanska-vratina/,publish,GROUND_MEAT_OR_CASING,WHOLE_CUT,PASS,B_PUBLIC_REVIEW_READY,"WHOLE_CUT_TITLE:coppa,capocollo,vratina",,1,1,1,1,0,1,1,1,1,1,0,0,0
2552,Otočac Začinski Vrat s Planine (Mountainski naresak),https://drycured.com/recepti-baza/otocac-zacinski-vrat-s-planine-mountainski-naresak/,publish,GROUND_MEAT_OR_CASING,WHOLE_CUT,PASS,B_PUBLIC_REVIEW_READY,CALIBRATION_ACCEPTED:TITLE_WHOLE_CUT_SIGNAL:vrat,,1,1,1,1,0,1,1,1,1,1,0,0,0
2604,Osiječki Ljuti Začinski Vrat s Divljim Travkama,https://drycured.com/recepti-baza/osijecki-ljuti-zacinski-vrat-s-divljim-travkama/,publish,GROUND_MEAT_OR_CASING,WHOLE_CUT,PASS,B_PUBLIC_REVIEW_READY,CALIBRATION_ACCEPTED:TITLE_WHOLE_CUT_SIGNAL:vrat,,1,1,1,1,0,1,1,1,1,1,0,0,0
2606,Požeški Aromatični Sušeni Vrat s Divljim Travkama,https://drycured.com/recepti-baza/pozeski-aromaticni-suseni-vrat-s-divljim-travkama/,publish,GROUND_MEAT_OR_CASING,WHOLE_CUT,PASS,B_PUBLIC_REVIEW_READY,WHOLE_CUT_TITLE:suseni vrat,,1,1,1,1,0,1,1,1,1,1,0,0,0
2694,Požeški Pikantni Vrat,https://drycured.com/recepti-baza/pozeski-pikantni-vrat/,publish,GROUND_MEAT_OR_CASING,WHOLE_CUT,PASS,B_PUBLIC_REVIEW_READY,CALIBRATION_ACCEPTED:TITLE_WHOLE_CUT_SIGNAL:vrat,,1,1,1,1,0,1,1,1,1,1,0,0,0
2696,Nasički Fermentirani Vrat,https://drycured.com/recepti-baza/nasicki-fermentirani-vrat/,publish,GROUND_MEAT_OR_CASING,WHOLE_CUT,PASS,B_PUBLIC_REVIEW_READY,CALIBRATION_ACCEPTED:TITLE_WHOLE_CUT_SIGNAL:vrat,,1,1,1,1,0,1,1,1,1,1,0,0,0
2703,Erdutski Fermentirani Vrat s Podunavskim Začinima,https://drycured.com/recepti-baza/erdutski-fermentirani-vrat-s-podunavskim-zacinima/,publish,GROUND_MEAT_OR_CASING,WHOLE_CUT,PASS,B_PUBLIC_REVIEW_READY,CALIBRATION_ACCEPTED:TITLE_WHOLE_CUT_SIGNAL:vrat,,1,1,1,1,0,1,1,1,1,1,0,0,0
2705,Vukovarski Fermentirani Vrat s Podunavskim Začinima,https://drycured.com/recepti-baza/vukovarski-fermentirani-vrat-s-podunavskim-zacinima/,publish,GROUND_MEAT_OR_CASING,WHOLE_CUT,PASS,B_PUBLIC_REVIEW_READY,CALIBRATION_ACCEPTED:TITLE_WHOLE_CUT_SIGNAL:vrat,,1,1,1,1,0,1,1,1,1,1,0,0,0
2780,Slavonski pikantni vrat,https://drycured.com/recepti-baza/slavonski-pikantni-vrat/,publish,GROUND_MEAT_OR_CASING,WHOLE_CUT,PASS,B_PUBLIC_REVIEW_READY,CALIBRATION_ACCEPTED:TITLE_WHOLE_CUT_SIGNAL:vrat,,1,1,1,1,0,1,1,1,1,1,0,0,0
2781,Esencijalni slavonski sušeni vrat s divljim začinima,https://drycured.com/recepti-baza/esencijalni-slavonski-suseni-vrat-s-divljim-zacinima/,publish,GROUND_MEAT_OR_CASING,WHOLE_CUT,PASS,B_PUBLIC_REVIEW_READY,WHOLE_CUT_TITLE:suseni vrat,,1,1,1,1,0,1,1,1,1,1,0,0,0
3042,Jésus de Lyon – debela suha kobasica,https://drycured.com/recepti-baza/jesus-de-lyon-debela-suha-kobasica/,publish,GROUND_MEAT_OR_CASING,GROUND_MEAT_OR_CASING,PASS,B_PUBLIC_REVIEW_READY,,,1,1,1,1,1,1,1,1,1,1,0,0,0
3083,ЕЛЕНСКИ БУТ (Elenski but),https://drycured.com/recepti-baza/elenski-but/,publish,GROUND_MEAT_OR_CASING,WHOLE_CUT,PASS,B_PUBLIC_REVIEW_READY,CALIBRATION_ACCEPTED:TITLE_WHOLE_CUT_SIGNAL:but,,1,1,1,1,0,1,1,1,1,1,0,0,0
3094,Elena filet (Еленски филе),https://drycured.com/recepti-baza/elena-filet/,publish,GROUND_MEAT_OR_CASING,GROUND_MEAT_OR_CASING,PASS,B_PUBLIC_REVIEW_READY,,,1,1,1,1,0,1,1,1,1,1,0,0,0
3105,Apohti (Απόχτι) &#8211; Dimljeni svinjski file,https://drycured.com/recepti-baza/apohti-dimljeni-svinjski-file/,publish,GROUND_MEAT_OR_CASING,GROUND_MEAT_OR_CASING,PASS,B_PUBLIC_REVIEW_READY,,,1,1,1,1,0,1,1,1,1,1,0,0,0
3106,Pastourma (Παστουρμάς) &#8211; Ciparski začinjeni sušeni goveđi file,https://drycured.com/recepti-baza/pastourma-ciparski-zacinjeni-suseni-govei-file/,publish,GROUND_MEAT_OR_CASING,GROUND_MEAT_OR_CASING,PASS,B_PUBLIC_REVIEW_READY,,,1,1,1,1,0,1,1,1,1,1,0,0,0
3135,Pastourmas (Παστουρμάς),https://drycured.com/recepti-baza/pastourmas/,publish,GROUND_MEAT_OR_CASING,GROUND_MEAT_OR_CASING,PASS,B_PUBLIC_REVIEW_READY,,,1,1,1,1,0,1,1,1,1,1,1,1,0
