post_id,title,url,code,country,category,process,tech_group,readiness,source_chars,has_10kg,has_sastojci,has_postupak,has_granulation_or_cut,has_casing,has_pac_salt,has_drying_smoking_maturation,has_garlic,has_errors_solutions,has_storage_serving
1982,"FINOCCHIONA TOSCANA",https://drycured.com/recepti-baza/finocchiona-toscana/,MD-FINOCCHIONA_TOSCANA,Italija,"suha salama","mljevenje + punjenje + fermentacija/zrenje",SAUSAGE_SALAMI,AUTO_DCV5_CANDIDATE_SAUSAGE,4378,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
1983,"PROSCIUTTO DI SAN DANIELE",https://drycured.com/recepti-baza/prosciutto-di-san-daniele/,MD-PROSCIUTTO_DI_SAN_DANIELE,Italija,"sušeni zreli sir","soljenje + dugo zrenje",HAM_PROSCIUTTO,AUTO_DCV5_CANDIDATE_WHOLE_CUT,3426,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
1984,"NDUJA CALABRESE",https://drycured.com/recepti-baza/nduja-calabrese/,MD-NDUJA_CALABRESE,Italija,"Suha kobasica","fermentacija + sušenje + zrenje",SAUSAGE_SALAMI,AUTO_DCV5_CANDIDATE_SAUSAGE,4217,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
1986,"LARDO DI COLONNATA",https://drycured.com/recepti-baza/lardo-di-colonnata/,MD-LARDO_DI_COLONNATA,Italija,"sazrela svinjska leđna mast","soljenje + začini + zrenje u mramornim posudama",BACON_FAT,AUTO_DCV5_CANDIDATE_WHOLE_CUT,3965,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
1988,"SOPPRESSA VICENTINA",https://drycured.com/recepti-baza/soppressa-vicentina/,MD-SOPPRESSA_VICENTINA,Hrvatska,"suhomesnati proizvod","fermentacija + sušenje + zrenje",SAUSAGE_SALAMI,AUTO_DCV5_CANDIDATE_SAUSAGE,3806,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
1990,"SALAME DI FELINO",https://drycured.com/recepti-baza/salame-di-felino/,MD-SALAME_DI_FELINO,Italija,"suha salama","fermentacija + sušenje + zrenje",SAUSAGE_SALAMI,AUTO_DCV5_CANDIDATE_SAUSAGE,4314,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
1991,"GUANCIALE ROMANO",https://drycured.com/recepti-baza/guanciale-romano/,MD-GUANCIALE_ROMANO,Hrvatska,"suhomesnati proizvod","sušenje + zrenje + soljenje/salamurenje",BACON_FAT,AUTO_DCV5_CANDIDATE_WHOLE_CUT,3632,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
2018,"Irska salama (Spiced Irish Salami)",https://drycured.com/recepti-baza/irska-salama-spiced-irish-salami/,MD-IRSKA_SALAMA_SPICED_IRISH_SALAMI,Irska,"suha salama","fermentacija + sušenje",SAUSAGE_SALAMI,AUTO_DCV5_CANDIDATE_SAUSAGE,4359,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
2021,"Cumberland kobasica",https://drycured.com/recepti-baza/cumberland-kobasica/,MD-CUMBERLAND_KOBASICA,Hrvatska,"Suha kobasica",sušenje,SAUSAGE_SALAMI,AUTO_DCV5_CANDIDATE_SAUSAGE,4280,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
2023,"?? Grčki tradicionalni recept - Loukaniko",https://drycured.com/recepti-baza/grcki-tradicionalni-recept-loukaniko/,MD-GRCKI_TRADICIONALNI_RECEPT_LOUKANIKO,Grčka,"suhomesnati proizvod",Sušeno,SAUSAGE_SALAMI,AUTO_DCV5_CANDIDATE_SAUSAGE,3437,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
2026,"?? Španjolski recept za chorizo",https://drycured.com/recepti-baza/spanjolski-recept-za-chorizo/,MD-SPANJOLSKI_RECEPT_ZA_CHORIZO,Španjolska,"Suha kobasica",Dimljeno,SAUSAGE_SALAMI,AUTO_DCV5_CANDIDATE_SAUSAGE,3790,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
2028,"Češki Špekáček (Špek Kobasica)",https://drycured.com/recepti-baza/ceski-spekacek-spek-kobasica/,MD-CESKI_SPEKACEK_SPEK_KOBASICA,Češka,"Suha kobasica",sušenje,SAUSAGE_SALAMI,AUTO_DCV5_CANDIDATE_SAUSAGE,4378,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
