Br.,Naziv recepta/proizvoda,Status za bazu,Razlog odluke,Skupina,Broj izvora,Oznake izvora,Izvorne datoteke
1,Alpske pečenice,KANDIDAT_PROIZVOD_DRYCURED,Naziv označava mesni/suhomesnati proizvod ili proizvodnu recepturu; ulazi u radni popis za pojedinačnu provjeru.,Kobasice i pečenice,1,IZV-19,219570442-Željko-Pavičić-Kolinje-i-Mesni-Specijaliteti.pdf
2,Baranjska kobasica,KANDIDAT_PROIZVOD_DRYCURED,Naziv označava mesni/suhomesnati proizvod ili proizvodnu recepturu; ulazi u radni popis za pojedinačnu provjeru.,Kobasice i pečenice,5,"IZV-17, IZV-07, IZV-12, IZV-03, IZV-05",224336073-Proizvodi-Od-Mesa-a5.pdf; 252216929-Kobasice-recepti.docx; 294416263-Recepti-Za-Kobasice.pdf; 54317045-kavurma-kobasice-kulen.odt; 77266164-Recepti-za-kobasice.pdf
3,Baranjska salama,KANDIDAT_PROIZVOD_DRYCURED,Naziv označava mesni/suhomesnati proizvod ili proizvodnu recepturu; ulazi u radni popis za pojedinačnu provjeru.,Salame i srodni proizvodi,1,IZV-19,219570442-Željko-Pavičić-Kolinje-i-Mesni-Specijaliteti.pdf
4,Barena slanina,KANDIDAT_PROIZVOD_DRYCURED,Naziv označava mesni/suhomesnati proizvod ili proizvodnu recepturu; ulazi u radni popis za pojedinačnu provjeru.,"Slanine, šunke, pršuti i cijeli komadi",1,IZV-17,224336073-Proizvodi-Od-Mesa-a5.pdf
5,Barena slanina u salamuri za šunku,KANDIDAT_PROIZVOD_DRYCURED,Naziv označava mesni/suhomesnati proizvod ili proizvodnu recepturu; ulazi u radni popis za pojedinačnu provjeru.,"Slanine, šunke, pršuti i cijeli komadi",1,IZV-17,224336073-Proizvodi-Od-Mesa-a5.pdf
6,Bareni gronik,KANDIDAT_PROIZVOD_DRYCURED,Naziv označava mesni/suhomesnati proizvod ili proizvodnu recepturu; ulazi u radni popis za pojedinačnu provjeru.,"Slanine, šunke, pršuti i cijeli komadi",1,IZV-17,224336073-Proizvodi-Od-Mesa-a5.pdf
7,Barska domaća kobasica,KANDIDAT_PROIZVOD_DRYCURED,Naziv označava mesni/suhomesnati proizvod ili proizvodnu recepturu; ulazi u radni popis za pojedinačnu provjeru.,Kobasice i pečenice,5,"IZV-17, IZV-07, IZV-12, IZV-03, IZV-05",224336073-Proizvodi-Od-Mesa-a5.pdf; 252216929-Kobasice-recepti.docx; 294416263-Recepti-Za-Kobasice.pdf; 54317045-kavurma-kobasice-kulen.odt; 77266164-Recepti-za-kobasice.pdf
8,Bačka domaća kobasica,KANDIDAT_PROIZVOD_DRYCURED,Naziv označava mesni/suhomesnati proizvod ili proizvodnu recepturu; ulazi u radni popis za pojedinačnu provjeru.,Kobasice i pečenice,5,"IZV-17, IZV-07, IZV-12, IZV-03, IZV-05",224336073-Proizvodi-Od-Mesa-a5.pdf; 252216929-Kobasice-recepti.docx; 294416263-Recepti-Za-Kobasice.pdf; 54317045-kavurma-kobasice-kulen.odt; 77266164-Recepti-za-kobasice.pdf
9,Bačka slanina,KANDIDAT_PROIZVOD_DRYCURED,Naziv označava mesni/suhomesnati proizvod ili proizvodnu recepturu; ulazi u radni popis za pojedinačnu provjeru.,"Slanine, šunke, pršuti i cijeli komadi",1,IZV-17,224336073-Proizvodi-Od-Mesa-a5.pdf
10,Bački kulen,KANDIDAT_PROIZVOD_DRYCURED,Naziv označava mesni/suhomesnati proizvod ili proizvodnu recepturu; ulazi u radni popis za pojedinačnu provjeru.,Kulen / sudžuk / veliki punjeni proizvodi,5,"IZV-17, IZV-07, IZV-12, IZV-03, IZV-05",224336073-Proizvodi-Od-Mesa-a5.pdf; 252216929-Kobasice-recepti.docx; 294416263-Recepti-Za-Kobasice.pdf; 54317045-kavurma-kobasice-kulen.odt; 77266164-Recepti-za-kobasice.pdf
