post_id,title,url,code,country,category,process,issue_fish_in_meat_context,issue_cheese_in_meat_context,issue_generic_swine_fish_combo,issue_wrong_no_casing_for_sausage,issue_casing_for_whole_cut,issue_generic_text,issue_dirty_title,issue_type_sir,issue_review_food_group,issue_count,recommendation
1982,"FINOCCHIONA TOSCANA",https://drycured.com/recepti-baza/finocchiona-toscana/,MD-FINOCCHIONA_TOSCANA,Italija,"suha salama","mljevenje + punjenje + fermentacija/zrenje",YES,NO,YES,NO,NO,NO,NO,NO,NO,2,AUTO_FIX_RENDER_TEXT
1983,"PROSCIUTTO DI SAN DANIELE",https://drycured.com/recepti-baza/prosciutto-di-san-daniele/,MD-PROSCIUTTO_DI_SAN_DANIELE,Italija,"sušeni zreli sir","soljenje + dugo zrenje",YES,YES,YES,NO,YES,YES,NO,YES,NO,6,AUTO_FIX_RENDER_TEXT
1984,"NDUJA CALABRESE",https://drycured.com/recepti-baza/nduja-calabrese/,MD-NDUJA_CALABRESE,Italija,"Suha kobasica","fermentacija + sušenje + zrenje",YES,NO,YES,NO,NO,NO,NO,NO,NO,2,AUTO_FIX_RENDER_TEXT
1986,"LARDO DI COLONNATA",https://drycured.com/recepti-baza/lardo-di-colonnata/,MD-LARDO_DI_COLONNATA,Italija,"sazrela svinjska leđna mast","soljenje + začini + zrenje u mramornim posudama",YES,NO,YES,NO,YES,YES,NO,NO,NO,4,AUTO_FIX_RENDER_TEXT
1988,"SOPPRESSA VICENTINA",https://drycured.com/recepti-baza/soppressa-vicentina/,MD-SOPPRESSA_VICENTINA,Hrvatska,"suhomesnati proizvod","fermentacija + sušenje + zrenje",YES,NO,YES,NO,NO,YES,NO,NO,NO,3,AUTO_FIX_RENDER_TEXT
1990,"SALAME DI FELINO",https://drycured.com/recepti-baza/salame-di-felino/,MD-SALAME_DI_FELINO,Italija,"suha salama","fermentacija + sušenje + zrenje",YES,NO,YES,NO,NO,NO,NO,NO,NO,2,AUTO_FIX_RENDER_TEXT
1991,"GUANCIALE ROMANO",https://drycured.com/recepti-baza/guanciale-romano/,MD-GUANCIALE_ROMANO,Hrvatska,"suhomesnati proizvod","sušenje + zrenje + soljenje/salamurenje",YES,NO,YES,NO,NO,YES,NO,NO,NO,3,AUTO_FIX_RENDER_TEXT
2018,"Irska salama (Spiced Irish Salami)",https://drycured.com/recepti-baza/irska-salama-spiced-irish-salami/,MD-IRSKA_SALAMA_SPICED_IRISH_SALAMI,Irska,"suha salama","fermentacija + sušenje",YES,NO,YES,NO,NO,NO,NO,NO,NO,2,AUTO_FIX_RENDER_TEXT
2021,"Cumberland kobasica",https://drycured.com/recepti-baza/cumberland-kobasica/,MD-CUMBERLAND_KOBASICA,Hrvatska,"Suha kobasica",sušenje,YES,NO,YES,NO,NO,NO,NO,NO,NO,2,AUTO_FIX_RENDER_TEXT
2023,"?? Grčki tradicionalni recept - Loukaniko",https://drycured.com/recepti-baza/grcki-tradicionalni-recept-loukaniko/,MD-GRCKI_TRADICIONALNI_RECEPT_LOUKANIKO,Grčka,"suhomesnati proizvod",Sušeno,NO,NO,NO,YES,NO,YES,YES,NO,NO,3,AUTO_FIX_RENDER_TEXT
2026,"?? Španjolski recept za chorizo",https://drycured.com/recepti-baza/spanjolski-recept-za-chorizo/,MD-SPANJOLSKI_RECEPT_ZA_CHORIZO,Španjolska,"Suha kobasica",Dimljeno,NO,NO,NO,NO,NO,NO,YES,NO,NO,1,AUTO_FIX_RENDER_TEXT
2028,"Češki Špekáček (Špek Kobasica)",https://drycured.com/recepti-baza/ceski-spekacek-spek-kobasica/,MD-CESKI_SPEKACEK_SPEK_KOBASICA,Češka,"Suha kobasica",sušenje,NO,NO,NO,NO,NO,NO,NO,NO,NO,0,OK_CONTENT_BASIC
2029,"JAMBON DE BAYONNE",https://drycured.com/recepti-baza/jambon-de-bayonne/,MD-JAMBON_DE_BAYONNE,Francuska,"Pršut | sušena šunka","soljenje + sušenje + zrenje",YES,NO,YES,NO,NO,NO,NO,NO,NO,2,AUTO_FIX_RENDER_TEXT
2032,"Coppa (Kapula)",https://drycured.com/recepti-baza/coppa-kapula/,MD-COPPA_KAPULA,Francuska,"suhomesnati proizvod","fermentacija + sušenje",YES,NO,YES,NO,NO,YES,NO,NO,NO,3,AUTO_FIX_RENDER_TEXT
2033,"Andouille de Guémené",https://drycured.com/recepti-baza/andouille-de-guemene/,MD-ANDOUILLE_DE_GUEMENE,Francuska,"suhomesnati proizvod","dimljenje + sušenje",YES,NO,YES,NO,NO,YES,NO,NO,NO,3,AUTO_FIX_RENDER_TEXT
2039,"Ukrajinska Domashnia Kovbasa (Domaća Kobasica)",https://drycured.com/recepti-baza/ukrajinska-domashnia-kovbasa-domaca-kobasica/,MD-UKRAJINSKA_DOMASHNIA_KOVBASA_DOMACA_KOBASICA,Ukrajina,"Suha kobasica","dimljenje + sušenje + zrenje",NO,NO,NO,NO,NO,NO,NO,NO,NO,0,OK_CONTENT_BASIC
2042,"BALMOȘ CU SLANINĂ (PALENTA SA SLANINOM)",https://drycured.com/recepti-baza/balmos-cu-slanina-palenta-sa-slaninom/,MD-BALMO_CU_SLANIN_PALENTA_SA_SLANINOM,Hrvatska,"Sušeni dimljeni cijeli komad","dimljenje + sušenje + soljenje/salamurenje",YES,NO,NO,NO,NO,NO,NO,NO,NO,1,AUTO_FIX_RENDER_TEXT
2043,"PFÄLZER SAUMAGEN (FALAČKA SVINJSKA ŽELUDAC-KOBASICA)",https://drycured.com/recepti-baza/pfalzer-saumagen-falacka-svinjska-zeludac-kobasica/,MD-PFALZER_SAUMAGEN_FALACKA_SVINJSKA_ZELUDAC_KOBASICA,Hrvatska,"Suha kobasica","Sušeno | za kuhanje",NO,NO,NO,NO,NO,NO,NO,NO,NO,0,OK_CONTENT_BASIC
