post_id,status,title,url,country,category,process,post_content_bytes,full_markdown_bytes,sections_bytes,data_bytes,content_has_markers,meta_has_markers,frontend_checked,frontend_http_code,frontend_bytes,frontend_has_markers,frontend_title_hits,risk_class
1975,draft,"Istarska kobasica",https://drycured.com/?post_type=dry_recipe&p=1975,Hrvatska,Kobasica,Nedimljeno|Sušeno,0,0,0,6627,NO,NO,NO,,0,,,OK_OR_NOT_CHECKED
1976,draft,"Primorska kobasica",https://drycured.com/?post_type=dry_recipe&p=1976,Hrvatska,Kobasica,Dimljeno|Sušeno,0,0,0,4299,NO,NO,NO,,0,,,OK_OR_NOT_CHECKED
1977,draft,"Creski udić — pršut od ovce",https://drycured.com/?post_type=dry_recipe&p=1977,Hrvatska,"Ovčji i kozji proizvodi",Sušeno|Zrelo,0,0,0,3845,NO,NO,NO,,0,,,OK_OR_NOT_CHECKED
1978,draft,"Creska janjeća roštilj kobasica",https://drycured.com/?post_type=dry_recipe&p=1978,Hrvatska,Kobasica,"Svježe|Za pečenje",0,0,0,4085,NO,NO,NO,,0,,,OK_OR_NOT_CHECKED
1979,draft,"Testni recept iz kalkulatora",https://drycured.com/?post_type=dry_recipe&p=1979,Hrvatska,Kobasica,Sušeno,0,0,0,1936,NO,NO,NO,,0,,,OK_OR_NOT_CHECKED
1980,draft,"Davorova kobasa",https://drycured.com/?post_type=dry_recipe&p=1980,Hrvatska,"Mljevena masa",,0,0,0,2929,NO,NO,NO,,0,,,OK_OR_NOT_CHECKED
1981,draft,"TRADICIJSKIH TALIJANSKIH RECEPATA ZA SUHOMESNATE PROIZVODE",https://drycured.com/?post_type=dry_recipe&p=1981,Italija,Ostalo,Sušeno,0,0,0,6602,NO,NO,NO,,0,,,OK_OR_NOT_CHECKED
1982,publish,"FINOCCHIONA TOSCANA",https://drycured.com/recepti-baza/finocchiona-toscana/,Italija,"suha salama","mljevenje + punjenje + fermentacija/zrenje",4378,4378,0,6441,YES,YES,YES,200,302843,YES,2,OK_PUBLIC_VISIBLE_OR_HAS_MARKERS
1983,publish,"PROSCIUTTO DI SAN DANIELE",https://drycured.com/recepti-baza/prosciutto-di-san-daniele/,Italija,"sušeni zreli sir","soljenje + dugo zrenje",3426,3426,0,8610,YES,YES,YES,200,303005,YES,2,OK_PUBLIC_VISIBLE_OR_HAS_MARKERS
1984,publish,"NDUJA CALABRESE",https://drycured.com/recepti-baza/nduja-calabrese/,Italija,"Suha kobasica","fermentacija + sušenje + zrenje",4217,4217,0,6332,YES,YES,YES,200,302767,YES,2,OK_PUBLIC_VISIBLE_OR_HAS_MARKERS
1985,draft,"SPECK ALTO ADIGE",https://drycured.com/?post_type=dry_recipe&p=1985,Italija,"Pancete i slanine",Dimljeno|Sušeno,0,0,0,6473,NO,NO,NO,,0,,,OK_OR_NOT_CHECKED
1986,publish,"LARDO DI COLONNATA",https://drycured.com/recepti-baza/lardo-di-colonnata/,Italija,"sazrela svinjska leđna mast","soljenje + začini + zrenje u mramornim posudama",3965,3965,0,6573,YES,YES,YES,200,302868,YES,2,OK_PUBLIC_VISIBLE_OR_HAS_MARKERS
1987,private,"MORTADELLA BOLOGNA",https://drycured.com/?post_type=dry_recipe&p=1987,Italija,"Suha kobasica","kuhanje/toplinska obrada",4284,4284,0,6637,YES,YES,NO,,0,,,OK_OR_NOT_CHECKED
1988,publish,"SOPPRESSA VICENTINA",https://drycured.com/recepti-baza/soppressa-vicentina/,Hrvatska,"suhomesnati proizvod","fermentacija + sušenje + zrenje",3806,3806,0,6290,YES,YES,YES,200,302843,YES,2,OK_PUBLIC_VISIBLE_OR_HAS_MARKERS
1989,private,"PORCHETTA ROMANA",https://drycured.com/?post_type=dry_recipe&p=1989,Italija,"pečeni mesni proizvod",pečenje,4053,4053,0,6843,YES,YES,NO,,0,,,OK_OR_NOT_CHECKED
1990,publish,"SALAME DI FELINO",https://drycured.com/recepti-baza/salame-di-felino/,Italija,"suha salama","fermentacija + sušenje + zrenje",4314,4314,0,6187,YES,YES,YES,200,302786,YES,2,OK_PUBLIC_VISIBLE_OR_HAS_MARKERS
1991,publish,"GUANCIALE ROMANO",https://drycured.com/recepti-baza/guanciale-romano/,Hrvatska,"suhomesnati proizvod","sušenje + zrenje + soljenje/salamurenje",3632,3632,0,6120,YES,YES,YES,200,302830,YES,2,OK_PUBLIC_VISIBLE_OR_HAS_MARKERS
1992,draft,"Engleska Cumberland Kobasica",https://drycured.com/?post_type=dry_recipe&p=1992,"Ujedinjeno Kraljevstvo",Kobasice,Sušeno,0,0,0,4438,NO,NO,NO,,0,,,OK_OR_NOT_CHECKED
1993,draft,"Škotska Lorne Kobasica",https://drycured.com/?post_type=dry_recipe&p=1993,Škotska,Kobasice,Sušeno,0,0,0,7146,NO,NO,NO,,0,,,OK_OR_NOT_CHECKED
1994,draft,"Islandska Hangikjöt Kobasica",https://drycured.com/?post_type=dry_recipe&p=1994,Island,Kobasice,Dimljeno|Sušeno,0,0,0,7271,NO,NO,NO,,0,,,OK_OR_NOT_CHECKED
1995,private,"Posavska Krvavica sa Šumskim Začinima",https://drycured.com/?post_type=dry_recipe&p=1995,Hrvatska,"suhomesnati proizvod",Sušeno,3437,3437,0,4568,YES,YES,NO,,0,,,OK_OR_NOT_CHECKED
1996,draft,"Tradicionalni suhomesnati proizvodi Slavonije",https://drycured.com/?post_type=dry_recipe&p=1996,Hrvatska,Ostalo,Dimljeno|Sušeno,0,0,0,5567,NO,NO,NO,,0,,,OK_OR_NOT_CHECKED
1997,draft,"Etnografska studija kulinarskog naslijeđa",https://drycured.com/?post_type=dry_recipe&p=1997,Hrvatska,Ostalo,Dimljeno|Sušeno,0,0,0,5556,NO,NO,NO,,0,,,OK_OR_NOT_CHECKED
1998,draft,"Tradicionalni suhomesnati proizvodi",https://drycured.com/?post_type=dry_recipe&p=1998,Hrvatska,Kobasice,Dimljeno|Sušeno,0,0,0,5538,NO,NO,NO,,0,,,OK_OR_NOT_CHECKED
1999,draft,"Salo (Сало) - Ukrajinska slanina",https://drycured.com/?post_type=dry_recipe&p=1999,Ukrajina,"Pancete i slanine",,0,0,0,5969,NO,NO,NO,,0,,,OK_OR_NOT_CHECKED
2000,draft,"Domašnja Kovbasa (Домашня ковбаса) - Domaća kobasica",https://drycured.com/?post_type=dry_recipe&p=2000,Ukrajina,Kobasice,,0,0,0,6252,NO,NO,NO,,0,,,OK_OR_NOT_CHECKED
2001,draft,"Kholodets (Холодець) - Hladetina od mesa",https://drycured.com/?post_type=dry_recipe&p=2001,Ukrajina,Hladetine/pihtije,,0,0,0,6348,NO,NO,NO,,0,,,OK_OR_NOT_CHECKED
2002,draft,"Solonina (Солонина) - Salamurena govedina",https://drycured.com/?post_type=dry_recipe&p=2002,Ukrajina,Salame,Sušeno,0,0,0,6232,NO,NO,NO,,0,,,OK_OR_NOT_CHECKED
2003,draft,"Shukhevychivska Kovbasa (Шухевичівська ковбаса) - Sušena kobasica s paprom",https://drycured.com/?post_type=dry_recipe&p=2003,Ukrajina,Kobasice,Sušeno,0,0,0,6463,NO,NO,NO,,0,,,OK_OR_NOT_CHECKED
2004,draft,"Pashtetna (Паштетна) - Pečena mesna pašteta",https://drycured.com/?post_type=dry_recipe&p=2004,Hrvatska,"Pancete i slanine","Za pečenje",0,0,0,6698,NO,NO,NO,,0,,,OK_OR_NOT_CHECKED
2005,draft,"UJEDINJENO KRALJEVSTVO - Tradicionalni recepti",https://drycured.com/?post_type=dry_recipe&p=2005,"Ujedinjeno Kraljevstvo",Kobasice,,0,0,0,2561,NO,NO,NO,,0,,,OK_OR_NOT_CHECKED
