post_id,title,url,post_content_bytes,full_markdown_bytes,sections_bytes,http_code,html_bytes,real_dcv5_recipe_in_body,visible_text_bytes,visible_has_title_word,visible_has_radni_sazetak,visible_has_gotovo,risk_class,visible_preview
1982,"FINOCCHIONA TOSCANA",https://drycured.com/recepti-baza/finocchiona-toscana/,4378,4378,0,200,302843,NO,1833,NO,NO,NO,RISK_VISIBLE_TOO_SHORT_OR_HIDDEN,"Skip to content drycured.com RECEPTI BLOG KNJIGA FORUM Kalkulator Drycured podcast ALATI Menu Toggle Dijagnostika problema Praćenje gubitka težine Dnevnik serije Planer dimljenja Monitor sušionice HACCP kontrolna lista Inventar i sirovina Kalkulator soli Gener"
1983,"PROSCIUTTO DI SAN DANIELE",https://drycured.com/recepti-baza/prosciutto-di-san-daniele/,3426,3426,0,200,303005,NO,1833,NO,NO,NO,RISK_VISIBLE_TOO_SHORT_OR_HIDDEN,"Skip to content drycured.com RECEPTI BLOG KNJIGA FORUM Kalkulator Drycured podcast ALATI Menu Toggle Dijagnostika problema Praćenje gubitka težine Dnevnik serije Planer dimljenja Monitor sušionice HACCP kontrolna lista Inventar i sirovina Kalkulator soli Gener"
1984,"NDUJA CALABRESE",https://drycured.com/recepti-baza/nduja-calabrese/,4217,4217,0,200,302767,NO,1833,NO,NO,NO,RISK_VISIBLE_TOO_SHORT_OR_HIDDEN,"Skip to content drycured.com RECEPTI BLOG KNJIGA FORUM Kalkulator Drycured podcast ALATI Menu Toggle Dijagnostika problema Praćenje gubitka težine Dnevnik serije Planer dimljenja Monitor sušionice HACCP kontrolna lista Inventar i sirovina Kalkulator soli Gener"
1986,"LARDO DI COLONNATA",https://drycured.com/recepti-baza/lardo-di-colonnata/,3965,3965,0,200,302868,NO,1833,NO,NO,NO,RISK_VISIBLE_TOO_SHORT_OR_HIDDEN,"Skip to content drycured.com RECEPTI BLOG KNJIGA FORUM Kalkulator Drycured podcast ALATI Menu Toggle Dijagnostika problema Praćenje gubitka težine Dnevnik serije Planer dimljenja Monitor sušionice HACCP kontrolna lista Inventar i sirovina Kalkulator soli Gener"
1988,"SOPPRESSA VICENTINA",https://drycured.com/recepti-baza/soppressa-vicentina/,3806,3806,0,200,302843,NO,1833,NO,NO,NO,RISK_VISIBLE_TOO_SHORT_OR_HIDDEN,"Skip to content drycured.com RECEPTI BLOG KNJIGA FORUM Kalkulator Drycured podcast ALATI Menu Toggle Dijagnostika problema Praćenje gubitka težine Dnevnik serije Planer dimljenja Monitor sušionice HACCP kontrolna lista Inventar i sirovina Kalkulator soli Gener"
1990,"SALAME DI FELINO",https://drycured.com/recepti-baza/salame-di-felino/,4314,4314,0,200,302786,NO,1833,NO,NO,NO,RISK_VISIBLE_TOO_SHORT_OR_HIDDEN,"Skip to content drycured.com RECEPTI BLOG KNJIGA FORUM Kalkulator Drycured podcast ALATI Menu Toggle Dijagnostika problema Praćenje gubitka težine Dnevnik serije Planer dimljenja Monitor sušionice HACCP kontrolna lista Inventar i sirovina Kalkulator soli Gener"
1991,"GUANCIALE ROMANO",https://drycured.com/recepti-baza/guanciale-romano/,3632,3632,0,200,302830,NO,1833,NO,NO,NO,RISK_VISIBLE_TOO_SHORT_OR_HIDDEN,"Skip to content drycured.com RECEPTI BLOG KNJIGA FORUM Kalkulator Drycured podcast ALATI Menu Toggle Dijagnostika problema Praćenje gubitka težine Dnevnik serije Planer dimljenja Monitor sušionice HACCP kontrolna lista Inventar i sirovina Kalkulator soli Gener"
2018,"Irska salama (Spiced Irish Salami)",https://drycured.com/recepti-baza/irska-salama-spiced-irish-salami/,4359,4359,0,200,303094,NO,1833,NO,NO,NO,RISK_VISIBLE_TOO_SHORT_OR_HIDDEN,"Skip to content drycured.com RECEPTI BLOG KNJIGA FORUM Kalkulator Drycured podcast ALATI Menu Toggle Dijagnostika problema Praćenje gubitka težine Dnevnik serije Planer dimljenja Monitor sušionice HACCP kontrolna lista Inventar i sirovina Kalkulator soli Gener"
2021,"Cumberland kobasica",https://drycured.com/recepti-baza/cumberland-kobasica/,4280,4280,0,200,302855,NO,1833,NO,NO,NO,RISK_VISIBLE_TOO_SHORT_OR_HIDDEN,"Skip to content drycured.com RECEPTI BLOG KNJIGA FORUM Kalkulator Drycured podcast ALATI Menu Toggle Dijagnostika problema Praćenje gubitka težine Dnevnik serije Planer dimljenja Monitor sušionice HACCP kontrolna lista Inventar i sirovina Kalkulator soli Gener"
2023,"?? Grčki tradicionalni recept - Loukaniko",https://drycured.com/recepti-baza/grcki-tradicionalni-recept-loukaniko/,3437,3437,0,200,303233,NO,1833,YES,NO,NO,OK_VISIBLE_MARKDOWN_OR_FALLBACK,"Skip to content drycured.com RECEPTI BLOG KNJIGA FORUM Kalkulator Drycured podcast ALATI Menu Toggle Dijagnostika problema Praćenje gubitka težine Dnevnik serije Planer dimljenja Monitor sušionice HACCP kontrolna lista Inventar i sirovina Kalkulator soli Gener"
2026,"?? Španjolski recept za chorizo",https://drycured.com/recepti-baza/spanjolski-recept-za-chorizo/,3790,3790,0,200,303070,NO,1833,YES,NO,NO,OK_VISIBLE_MARKDOWN_OR_FALLBACK,"Skip to content drycured.com RECEPTI BLOG KNJIGA FORUM Kalkulator Drycured podcast ALATI Menu Toggle Dijagnostika problema Praćenje gubitka težine Dnevnik serije Planer dimljenja Monitor sušionice HACCP kontrolna lista Inventar i sirovina Kalkulator soli Gener"
2028,"Češki Špekáček (Špek Kobasica)",https://drycured.com/recepti-baza/ceski-spekacek-spek-kobasica/,4378,4378,0,200,303186,NO,1833,NO,NO,NO,RISK_VISIBLE_TOO_SHORT_OR_HIDDEN,"Skip to content drycured.com RECEPTI BLOG KNJIGA FORUM Kalkulator Drycured podcast ALATI Menu Toggle Dijagnostika problema Praćenje gubitka težine Dnevnik serije Planer dimljenja Monitor sušionice HACCP kontrolna lista Inventar i sirovina Kalkulator soli Gener"
2029,"JAMBON DE BAYONNE",https://drycured.com/recepti-baza/jambon-de-bayonne/,3482,3482,0,200,302861,NO,1833,NO,NO,NO,RISK_VISIBLE_TOO_SHORT_OR_HIDDEN,"Skip to content drycured.com RECEPTI BLOG KNJIGA FORUM Kalkulator Drycured podcast ALATI Menu Toggle Dijagnostika problema Praćenje gubitka težine Dnevnik serije Planer dimljenja Monitor sušionice HACCP kontrolna lista Inventar i sirovina Kalkulator soli Gener"
2032,"Coppa (Kapula)",https://drycured.com/recepti-baza/coppa-kapula/,3683,3683,0,200,302758,NO,1833,NO,NO,NO,RISK_VISIBLE_TOO_SHORT_OR_HIDDEN,"Skip to content drycured.com RECEPTI BLOG KNJIGA FORUM Kalkulator Drycured podcast ALATI Menu Toggle Dijagnostika problema Praćenje gubitka težine Dnevnik serije Planer dimljenja Monitor sušionice HACCP kontrolna lista Inventar i sirovina Kalkulator soli Gener"
2033,"Andouille de Guémené",https://drycured.com/recepti-baza/andouille-de-guemene/,3761,3761,0,200,302914,NO,1833,NO,NO,NO,RISK_VISIBLE_TOO_SHORT_OR_HIDDEN,"Skip to content drycured.com RECEPTI BLOG KNJIGA FORUM Kalkulator Drycured podcast ALATI Menu Toggle Dijagnostika problema Praćenje gubitka težine Dnevnik serije Planer dimljenja Monitor sušionice HACCP kontrolna lista Inventar i sirovina Kalkulator soli Gener"
2037,"Hangikjöt (Dimljeni janjeti but)",https://drycured.com/recepti-baza/hangikjot-dimljeni-janjeti-but/,3564,3564,0,200,351915,YES,10291,YES,NO,YES,OK_REAL_DCV5,"Skip to content drycured.com RECEPTI BLOG KNJIGA FORUM Kalkulator Drycured podcast ALATI Menu Toggle Dijagnostika problema Praćenje gubitka težine Dnevnik serije Planer dimljenja Monitor sušionice HACCP kontrolna lista Inventar i sirovina Kalkulator soli Gener"
2039,"Ukrajinska Domashnia Kovbasa (Domaća Kobasica)",https://drycured.com/recepti-baza/ukrajinska-domashnia-kovbasa-domaca-kobasica/,4281,4281,0,200,303360,NO,1833,NO,NO,NO,RISK_VISIBLE_TOO_SHORT_OR_HIDDEN,"Skip to content drycured.com RECEPTI BLOG KNJIGA FORUM Kalkulator Drycured podcast ALATI Menu Toggle Dijagnostika problema Praćenje gubitka težine Dnevnik serije Planer dimljenja Monitor sušionice HACCP kontrolna lista Inventar i sirovina Kalkulator soli Gener"
2042,"BALMOȘ CU SLANINĂ (PALENTA SA SLANINOM)",https://drycured.com/recepti-baza/balmos-cu-slanina-palenta-sa-slaninom/,3503,3503,0,200,303285,NO,1833,NO,NO,NO,RISK_VISIBLE_TOO_SHORT_OR_HIDDEN,"Skip to content drycured.com RECEPTI BLOG KNJIGA FORUM Kalkulator Drycured podcast ALATI Menu Toggle Dijagnostika problema Praćenje gubitka težine Dnevnik serije Planer dimljenja Monitor sušionice HACCP kontrolna lista Inventar i sirovina Kalkulator soli Gener"
2043,"PFÄLZER SAUMAGEN (FALAČKA SVINJSKA ŽELUDAC-KOBASICA)",https://drycured.com/recepti-baza/pfalzer-saumagen-falacka-svinjska-zeludac-kobasica/,4741,4741,0,200,303554,NO,1833,NO,NO,NO,RISK_VISIBLE_TOO_SHORT_OR_HIDDEN,"Skip to content drycured.com RECEPTI BLOG KNJIGA FORUM Kalkulator Drycured podcast ALATI Menu Toggle Dijagnostika problema Praćenje gubitka težine Dnevnik serije Planer dimljenja Monitor sušionice HACCP kontrolna lista Inventar i sirovina Kalkulator soli Gener"
2047,"Domaći Bratwurst",https://drycured.com/recepti-baza/domaci-bratwurst/,3704,3704,0,200,302832,NO,1833,NO,NO,NO,RISK_VISIBLE_TOO_SHORT_OR_HIDDEN,"Skip to content drycured.com RECEPTI BLOG KNJIGA FORUM Kalkulator Drycured podcast ALATI Menu Toggle Dijagnostika problema Praćenje gubitka težine Dnevnik serije Planer dimljenja Monitor sušionice HACCP kontrolna lista Inventar i sirovina Kalkulator soli Gener"
2049,"Hausmacher Mettwurst (Domaća dimljena kobasica za mazanje)",https://drycured.com/recepti-baza/hausmacher-mettwurst-domaca-dimljena-kobasica-za-mazanje/,4079,4079,0,200,303604,NO,1833,NO,NO,NO,RISK_VISIBLE_TOO_SHORT_OR_HIDDEN,"Skip to content drycured.com RECEPTI BLOG KNJIGA FORUM Kalkulator Drycured podcast ALATI Menu Toggle Dijagnostika problema Praćenje gubitka težine Dnevnik serije Planer dimljenja Monitor sušionice HACCP kontrolna lista Inventar i sirovina Kalkulator soli Gener"
2051,"ŠKOTSKI LORNE SAUSAGE (ČETVRTASTI KOBASIČASTI ODREZAK)",https://drycured.com/recepti-baza/skotski-lorne-sausage-cetvrtasti-kobasicasti-odrezak/,4267,4267,0,200,303552,NO,1833,NO,NO,NO,RISK_VISIBLE_TOO_SHORT_OR_HIDDEN,"Skip to content drycured.com RECEPTI BLOG KNJIGA FORUM Kalkulator Drycured podcast ALATI Menu Toggle Dijagnostika problema Praćenje gubitka težine Dnevnik serije Planer dimljenja Monitor sušionice HACCP kontrolna lista Inventar i sirovina Kalkulator soli Gener"
2052,"Jamón Ibérico de Bellota - Iberijski Pršut od Žira",https://drycured.com/recepti-baza/jamon-iberico-de-bellota-iberijski-prsut-od-zira/,3757,3757,0,200,303557,NO,1833,NO,NO,NO,RISK_VISIBLE_TOO_SHORT_OR_HIDDEN,"Skip to content drycured.com RECEPTI BLOG KNJIGA FORUM Kalkulator Drycured podcast ALATI Menu Toggle Dijagnostika problema Praćenje gubitka težine Dnevnik serije Planer dimljenja Monitor sušionice HACCP kontrolna lista Inventar i sirovina Kalkulator soli Gener"
