ID,title,slug,status,contract_build_status,missing_or_review_groups,forbidden_terms,has_granulation_mm,has_casing_diameter,has_verified_process,contract_file
2972,Slavonski kulen (PDO EU),hr-sl-001-slavonski-kulen-pdo-eu,publish,PASS_DRAFT,,,1,1,1,04_OPERATION/recipe_master/reports/contract_normalizer_v1_2026-06-15_18-03-29/contracts/2972_hr-sl-001-slavonski-kulen-pdo-eu_contract_v1.json
2973,Kulenova seka,hr-sl-002-kulenova-seka,publish,PASS_DRAFT,safety,,1,1,1,04_OPERATION/recipe_master/reports/contract_normalizer_v1_2026-06-15_18-03-29/contracts/2973_hr-sl-002-kulenova-seka_contract_v1.json
2974,Baranjski kulen (ZOZP EU),hr-sl-003-baranjski-kulen-zozp-eu,publish,PASS_DRAFT,safety,,1,1,1,04_OPERATION/recipe_master/reports/contract_normalizer_v1_2026-06-15_18-03-29/contracts/2974_hr-sl-003-baranjski-kulen-zozp-eu_contract_v1.json
2975,Đakovački kulen,hr-sl-004-dakovacki-kulen,publish,PASS_DRAFT,safety,,1,1,1,04_OPERATION/recipe_master/reports/contract_normalizer_v1_2026-06-15_18-03-29/contracts/2975_hr-sl-004-dakovacki-kulen_contract_v1.json
2976,Slavonska domaća kobasica,hr-sl-005-slavonska-domaca-kobasica,publish,PASS_DRAFT,safety,,1,1,1,04_OPERATION/recipe_master/reports/contract_normalizer_v1_2026-06-15_18-03-29/contracts/2976_hr-sl-005-slavonska-domaca-kobasica_contract_v1.json
2977,Srijemska kobasica (OGP),hr-sl-006-srijemska-kobasica-ogp,publish,PASS_DRAFT,safety,,1,1,1,04_OPERATION/recipe_master/reports/contract_normalizer_v1_2026-06-15_18-03-29/contracts/2977_hr-sl-006-srijemska-kobasica-ogp_contract_v1.json
2979,Baranjska kobasica,hr-sl-008-baranjska-kobasica,publish,PASS_DRAFT,safety,,1,1,1,04_OPERATION/recipe_master/reports/contract_normalizer_v1_2026-06-15_18-03-29/contracts/2979_hr-sl-008-baranjska-kobasica_contract_v1.json
2981,Slavonska kobasica (ZOI EU 2023),hr-sl-010-slavonska-kobasica-zoi-eu-2023,publish,PASS_DRAFT,safety,,1,1,1,04_OPERATION/recipe_master/reports/contract_normalizer_v1_2026-06-15_18-03-29/contracts/2981_hr-sl-010-slavonska-kobasica-zoi-eu-2023_contract_v1.json
2996,Brodska kobasica (Slavonski Brod),hr-sl-030-brodska-kobasica-slavonski-brod,publish,PASS_DRAFT,safety,,1,1,1,04_OPERATION/recipe_master/reports/contract_normalizer_v1_2026-06-15_18-03-29/contracts/2996_hr-sl-030-brodska-kobasica-slavonski-brod_contract_v1.json
2997,Osječka kobasica,hr-sl-031-osjecka-kobasica,publish,PASS_DRAFT,safety,,1,1,1,04_OPERATION/recipe_master/reports/contract_normalizer_v1_2026-06-15_18-03-29/contracts/2997_hr-sl-031-osjecka-kobasica_contract_v1.json
3000,Slavonska domaća salama,hr-sl-034-slavonska-domaca-salama,publish,PASS_DRAFT,safety,,1,1,1,04_OPERATION/recipe_master/reports/contract_normalizer_v1_2026-06-15_18-03-29/contracts/3000_hr-sl-034-slavonska-domaca-salama_contract_v1.json
3001,Slavonska čvarkovača (kobasica od čvaraka),hr-sl-036-slavonska-cvarkovaca-kobasica-od-cvaraka,publish,PASS_DRAFT,safety,,1,1,1,04_OPERATION/recipe_master/reports/contract_normalizer_v1_2026-06-15_18-03-29/contracts/3001_hr-sl-036-slavonska-cvarkovaca-kobasica-od-cvaraka_contract_v1.json
3002,Vinkovačka kobasica,hr-sl-037-vinkovacka-kobasica,publish,PASS_DRAFT,safety,,1,1,1,04_OPERATION/recipe_master/reports/contract_normalizer_v1_2026-06-15_18-03-29/contracts/3002_hr-sl-037-vinkovacka-kobasica_contract_v1.json
