ID,title,status,v2_status,missing_critical_groups,forbidden_terms,materials,spices,liquids,garlic,granulation,casing,process,errors,safety,contract_file
2972,Slavonski kulen (PDO EU),publish,RENDER_ADAPTER_CANDIDATE,,,34,13,6,6,12,13,18,1,35,04_OPERATION/recipe_master/reports/contract_normalizer_v2_2026-06-15_18-15-01/contracts_v2/2972_hr-sl-001-slavonski-kulen-pdo-eu_contract_v2.json
2973,Kulenova seka,publish,RENDER_ADAPTER_CANDIDATE,,,5,3,6,2,7,11,10,1,8,04_OPERATION/recipe_master/reports/contract_normalizer_v2_2026-06-15_18-15-01/contracts_v2/2973_hr-sl-002-kulenova-seka_contract_v2.json
2974,Baranjski kulen (ZOZP EU),publish,RENDER_ADAPTER_CANDIDATE,,,26,9,6,4,9,11,11,1,22,04_OPERATION/recipe_master/reports/contract_normalizer_v2_2026-06-15_18-15-01/contracts_v2/2974_hr-sl-003-baranjski-kulen-zozp-eu_contract_v2.json
2975,Đakovački kulen,publish,RENDER_ADAPTER_CANDIDATE,,,24,9,6,6,8,9,12,1,24,04_OPERATION/recipe_master/reports/contract_normalizer_v2_2026-06-15_18-15-01/contracts_v2/2975_hr-sl-004-dakovacki-kulen_contract_v2.json
2976,Slavonska domaća kobasica,publish,RENDER_ADAPTER_CANDIDATE,,,20,9,6,3,7,8,11,1,22,04_OPERATION/recipe_master/reports/contract_normalizer_v2_2026-06-15_18-15-01/contracts_v2/2976_hr-sl-005-slavonska-domaca-kobasica_contract_v2.json
2977,Srijemska kobasica (OGP),publish,RENDER_ADAPTER_CANDIDATE,,,20,11,6,5,8,8,12,1,23,04_OPERATION/recipe_master/reports/contract_normalizer_v2_2026-06-15_18-15-01/contracts_v2/2977_hr-sl-006-srijemska-kobasica-ogp_contract_v2.json
2979,Baranjska kobasica,publish,RENDER_ADAPTER_CANDIDATE,,,19,10,6,3,7,8,13,1,19,04_OPERATION/recipe_master/reports/contract_normalizer_v2_2026-06-15_18-15-01/contracts_v2/2979_hr-sl-008-baranjska-kobasica_contract_v2.json
2981,Slavonska kobasica (ZOI EU 2023),publish,RENDER_ADAPTER_CANDIDATE,,,21,11,6,3,9,8,14,1,20,04_OPERATION/recipe_master/reports/contract_normalizer_v2_2026-06-15_18-15-01/contracts_v2/2981_hr-sl-010-slavonska-kobasica-zoi-eu-2023_contract_v2.json
2996,Brodska kobasica (Slavonski Brod),publish,RENDER_ADAPTER_CANDIDATE,,,19,10,6,3,9,8,12,1,21,04_OPERATION/recipe_master/reports/contract_normalizer_v2_2026-06-15_18-15-01/contracts_v2/2996_hr-sl-030-brodska-kobasica-slavonski-brod_contract_v2.json
2997,Osječka kobasica,publish,RENDER_ADAPTER_CANDIDATE,,,20,9,6,3,8,9,12,1,20,04_OPERATION/recipe_master/reports/contract_normalizer_v2_2026-06-15_18-15-01/contracts_v2/2997_hr-sl-031-osjecka-kobasica_contract_v2.json
3000,Slavonska domaća salama,publish,RENDER_ADAPTER_CANDIDATE,,,20,8,6,3,7,10,12,1,22,04_OPERATION/recipe_master/reports/contract_normalizer_v2_2026-06-15_18-15-01/contracts_v2/3000_hr-sl-034-slavonska-domaca-salama_contract_v2.json
3001,Slavonska čvarkovača (kobasica od čvaraka),publish,RENDER_ADAPTER_CANDIDATE,,,18,10,6,2,7,9,15,1,22,04_OPERATION/recipe_master/reports/contract_normalizer_v2_2026-06-15_18-15-01/contracts_v2/3001_hr-sl-036-slavonska-cvarkovaca-kobasica-od-cvaraka_contract_v2.json
3002,Vinkovačka kobasica,publish,RENDER_ADAPTER_CANDIDATE,,,19,10,6,3,7,8,12,1,21,04_OPERATION/recipe_master/reports/contract_normalizer_v2_2026-06-15_18-15-01/contracts_v2/3002_hr-sl-037-vinkovacka-kobasica_contract_v2.json
3003,Slavonska lovačka kobasica (divljač + svinjetina),publish,RENDER_ADAPTER_CANDIDATE,,,23,9,6,3,10,11,13,1,27,04_OPERATION/recipe_master/reports/contract_normalizer_v2_2026-06-15_18-15-01/contracts_v2/3003_hr-sl-038-slavonska-lovacka-kobasica-divljac-svinjetina_contract_v2.json
