ID,title,status,contract_file,detail_score_12,quality,missing_detail_groups,forbidden_terms,normalizer_status
2972,Slavonski kulen (PDO EU),publish,04_OPERATION/recipe_master/reports/contract_normalizer_v1_2026-06-15_18-03-29/contracts/2972_hr-sl-001-slavonski-kulen-pdo-eu_contract_v1.json,4,CONTRACT_SKELETON_ONLY,spices;liquids;process;smoking;drying;maturation;errors;safety,,PASS_DRAFT
2973,Kulenova seka,publish,04_OPERATION/recipe_master/reports/contract_normalizer_v1_2026-06-15_18-03-29/contracts/2973_hr-sl-002-kulenova-seka_contract_v1.json,4,CONTRACT_SKELETON_ONLY,spices;liquids;process;smoking;drying;maturation;errors;safety,,PASS_DRAFT
2974,Baranjski kulen (ZOZP EU),publish,04_OPERATION/recipe_master/reports/contract_normalizer_v1_2026-06-15_18-03-29/contracts/2974_hr-sl-003-baranjski-kulen-zozp-eu_contract_v1.json,4,CONTRACT_SKELETON_ONLY,spices;liquids;process;smoking;drying;maturation;errors;safety,,PASS_DRAFT
2975,Đakovački kulen,publish,04_OPERATION/recipe_master/reports/contract_normalizer_v1_2026-06-15_18-03-29/contracts/2975_hr-sl-004-dakovacki-kulen_contract_v1.json,4,CONTRACT_SKELETON_ONLY,spices;liquids;process;smoking;drying;maturation;errors;safety,,PASS_DRAFT
2976,Slavonska domaća kobasica,publish,04_OPERATION/recipe_master/reports/contract_normalizer_v1_2026-06-15_18-03-29/contracts/2976_hr-sl-005-slavonska-domaca-kobasica_contract_v1.json,4,CONTRACT_SKELETON_ONLY,spices;liquids;process;smoking;drying;maturation;errors;safety,,PASS_DRAFT
2977,Srijemska kobasica (OGP),publish,04_OPERATION/recipe_master/reports/contract_normalizer_v1_2026-06-15_18-03-29/contracts/2977_hr-sl-006-srijemska-kobasica-ogp_contract_v1.json,4,CONTRACT_SKELETON_ONLY,spices;liquids;process;smoking;drying;maturation;errors;safety,,PASS_DRAFT
2978,Privatno: Ratarske kobasice,private,04_OPERATION/recipe_master/reports/contract_normalizer_v1_2026-06-15_18-03-29/contracts/2978_hr-sl-007-ratarske-kobasice_contract_v1.json,4,CONTRACT_SKELETON_ONLY,spices;liquids;process;smoking;drying;maturation;errors;safety,,PASS_DRAFT
2979,Baranjska kobasica,publish,04_OPERATION/recipe_master/reports/contract_normalizer_v1_2026-06-15_18-03-29/contracts/2979_hr-sl-008-baranjska-kobasica_contract_v1.json,4,CONTRACT_SKELETON_ONLY,spices;liquids;process;smoking;drying;maturation;errors;safety,,PASS_DRAFT
2980,Privatno: Baranjska salama,private,04_OPERATION/recipe_master/reports/contract_normalizer_v1_2026-06-15_18-03-29/contracts/2980_hr-sl-009-baranjska-salama_contract_v1.json,4,CONTRACT_SKELETON_ONLY,spices;liquids;process;smoking;drying;maturation;errors;safety,,PASS_DRAFT
2981,Slavonska kobasica (ZOI EU 2023),publish,04_OPERATION/recipe_master/reports/contract_normalizer_v1_2026-06-15_18-03-29/contracts/2981_hr-sl-010-slavonska-kobasica-zoi-eu-2023_contract_v1.json,4,CONTRACT_SKELETON_ONLY,spices;liquids;process;smoking;drying;maturation;errors;safety,,PASS_DRAFT
