Br.,Naziv recepta/proizvoda,Status za bazu,Razlog odluke,Skupina,Broj izvora,Oznake izvora,Izvorne datoteke
7,Barska domaća kobasica,KANDIDAT_PROIZVOD_DRYCURED,Naziv označava mesni/suhomesnati proizvod ili proizvodnu recepturu; ulazi u radni popis za pojedinačnu provjeru.,Kobasice i pečenice,5,"IZV-17, IZV-07, IZV-12, IZV-03, IZV-05",224336073-Proizvodi-Od-Mesa-a5.pdf; 252216929-Kobasice-recepti.docx; 294416263-Recepti-Za-Kobasice.pdf; 54317045-kavurma-kobasice-kulen.odt; 77266164-Recepti-za-kobasice.pdf
8,Bačka domaća kobasica,KANDIDAT_PROIZVOD_DRYCURED,Naziv označava mesni/suhomesnati proizvod ili proizvodnu recepturu; ulazi u radni popis za pojedinačnu provjeru.,Kobasice i pečenice,5,"IZV-17, IZV-07, IZV-12, IZV-03, IZV-05",224336073-Proizvodi-Od-Mesa-a5.pdf; 252216929-Kobasice-recepti.docx; 294416263-Recepti-Za-Kobasice.pdf; 54317045-kavurma-kobasice-kulen.odt; 77266164-Recepti-za-kobasice.pdf
9,Bačka slanina,KANDIDAT_PROIZVOD_DRYCURED,Naziv označava mesni/suhomesnati proizvod ili proizvodnu recepturu; ulazi u radni popis za pojedinačnu provjeru.,"Slanine, šunke, pršuti i cijeli komadi",1,IZV-17,224336073-Proizvodi-Od-Mesa-a5.pdf
10,Bački kulen,KANDIDAT_PROIZVOD_DRYCURED,Naziv označava mesni/suhomesnati proizvod ili proizvodnu recepturu; ulazi u radni popis za pojedinačnu provjeru.,Kulen / sudžuk / veliki punjeni proizvodi,5,"IZV-17, IZV-07, IZV-12, IZV-03, IZV-05",224336073-Proizvodi-Od-Mesa-a5.pdf; 252216929-Kobasice-recepti.docx; 294416263-Recepti-Za-Kobasice.pdf; 54317045-kavurma-kobasice-kulen.odt; 77266164-Recepti-za-kobasice.pdf
63,Goveđa užička pršuta,KANDIDAT_PROIZVOD_DRYCURED,Naziv označava mesni/suhomesnati proizvod ili proizvodnu recepturu; ulazi u radni popis za pojedinačnu provjeru.,"Slanine, šunke, pršuti i cijeli komadi",1,IZV-10,260924825-suhomesnati-proizvodi.docx
85,Kačarevačka kobasica,KANDIDAT_PROIZVOD_DRYCURED,Naziv označava mesni/suhomesnati proizvod ili proizvodnu recepturu; ulazi u radni popis za pojedinačnu provjeru.,Kobasice i pečenice,5,"IZV-17, IZV-07, IZV-12, IZV-03, IZV-05",224336073-Proizvodi-Od-Mesa-a5.pdf; 252216929-Kobasice-recepti.docx; 294416263-Recepti-Za-Kobasice.pdf; 54317045-kavurma-kobasice-kulen.odt; 77266164-Recepti-za-kobasice.pdf
86,Kačarevačka slanina,KANDIDAT_PROIZVOD_DRYCURED,Naziv označava mesni/suhomesnati proizvod ili proizvodnu recepturu; ulazi u radni popis za pojedinačnu provjeru.,"Slanine, šunke, pršuti i cijeli komadi",1,IZV-17,224336073-Proizvodi-Od-Mesa-a5.pdf
114,Leskovačka kavurma (sprža),KANDIDAT_PROIZVOD_DRYCURED,Naziv označava mesni/suhomesnati proizvod ili proizvodnu recepturu; ulazi u radni popis za pojedinačnu provjeru.,"Iznutrice, krvavice, tlačenice, paštete i pihtije",1,IZV-18,116155486-Domaće-kobasice-i-sl(1).doc
115,Leskovačka kobasica,KANDIDAT_PROIZVOD_DRYCURED,Naziv označava mesni/suhomesnati proizvod ili proizvodnu recepturu; ulazi u radni popis za pojedinačnu provjeru.,Kobasice i pečenice,1,IZV-17,224336073-Proizvodi-Od-Mesa-a5.pdf
116,Leskovačke dimljene vešalice,KANDIDAT_PROIZVOD_DRYCURED,Naziv označava mesni/suhomesnati proizvod ili proizvodnu recepturu; ulazi u radni popis za pojedinačnu provjeru.,"Slanine, šunke, pršuti i cijeli komadi",1,IZV-17,224336073-Proizvodi-Od-Mesa-a5.pdf
141,Njeguška kobasica,KANDIDAT_PROIZVOD_DRYCURED,Naziv označava mesni/suhomesnati proizvod ili proizvodnu recepturu; ulazi u radni popis za pojedinačnu provjeru.,Kobasice i pečenice,5,"IZV-17, IZV-07, IZV-12, IZV-03, IZV-05",224336073-Proizvodi-Od-Mesa-a5.pdf; 252216929-Kobasice-recepti.docx; 294416263-Recepti-Za-Kobasice.pdf; 54317045-kavurma-kobasice-kulen.odt; 77266164-Recepti-za-kobasice.pdf
142,Njeguški pršut,KANDIDAT_PROIZVOD_DRYCURED,Naziv označava mesni/suhomesnati proizvod ili proizvodnu recepturu; ulazi u radni popis za pojedinačnu provjeru.,"Slanine, šunke, pršuti i cijeli komadi",1,IZV-17,224336073-Proizvodi-Od-Mesa-a5.pdf
158,Petrovačka domaća kobasica,KANDIDAT_PROIZVOD_DRYCURED,Naziv označava mesni/suhomesnati proizvod ili proizvodnu recepturu; ulazi u radni popis za pojedinačnu provjeru.,Kobasice i pečenice,5,"IZV-17, IZV-07, IZV-12, IZV-03, IZV-05",224336073-Proizvodi-Od-Mesa-a5.pdf; 252216929-Kobasice-recepti.docx; 294416263-Recepti-Za-Kobasice.pdf; 54317045-kavurma-kobasice-kulen.odt; 77266164-Recepti-za-kobasice.pdf
159,Petrovačka ljuta kobasica,KANDIDAT_PROIZVOD_DRYCURED,Naziv označava mesni/suhomesnati proizvod ili proizvodnu recepturu; ulazi u radni popis za pojedinačnu provjeru.,Kobasice i pečenice,5,"IZV-17, IZV-07, IZV-12, IZV-03, IZV-05",224336073-Proizvodi-Od-Mesa-a5.pdf; 252216929-Kobasice-recepti.docx; 294416263-Recepti-Za-Kobasice.pdf; 54317045-kavurma-kobasice-kulen.odt; 77266164-Recepti-za-kobasice.pdf
160,Petrovački kulen,KANDIDAT_PROIZVOD_DRYCURED,Naziv označava mesni/suhomesnati proizvod ili proizvodnu recepturu; ulazi u radni popis za pojedinačnu provjeru.,Kulen / sudžuk / veliki punjeni proizvodi,5,"IZV-17, IZV-07, IZV-12, IZV-03, IZV-05",224336073-Proizvodi-Od-Mesa-a5.pdf; 252216929-Kobasice-recepti.docx; 294416263-Recepti-Za-Kobasice.pdf; 54317045-kavurma-kobasice-kulen.odt; 77266164-Recepti-za-kobasice.pdf
212,Sremska ljuta kobasica,KANDIDAT_PROIZVOD_DRYCURED,Naziv označava mesni/suhomesnati proizvod ili proizvodnu recepturu; ulazi u radni popis za pojedinačnu provjeru.,Kobasice i pečenice,5,"IZV-17, IZV-07, IZV-12, IZV-03, IZV-05",224336073-Proizvodi-Od-Mesa-a5.pdf; 252216929-Kobasice-recepti.docx; 294416263-Recepti-Za-Kobasice.pdf; 54317045-kavurma-kobasice-kulen.odt; 77266164-Recepti-za-kobasice.pdf
213,Sremska šunka,KANDIDAT_PROIZVOD_DRYCURED,Naziv označava mesni/suhomesnati proizvod ili proizvodnu recepturu; ulazi u radni popis za pojedinačnu provjeru.,"Slanine, šunke, pršuti i cijeli komadi",1,IZV-17,224336073-Proizvodi-Od-Mesa-a5.pdf
