post_id,title,slug,status,url,country_meta,region_meta,code_meta,best_source_candidate,best_score,comparison_note
1975,Istarska kobasica,istarska-kobasica,draft,https://drycured.com/?post_type=dry_recipe&p=1975,,,HR-IST-KOB-VODIC-001,Istarske kobasice,0.882,SERVER_HR_STRICT_NOT_IN_SOURCE
1976,Primorska kobasica,primorska-kobasica,draft,https://drycured.com/?post_type=dry_recipe&p=1976,,,HR-PRI-KOB-PRIMORSKA-001,Primorske kobasice,0.889,SERVER_HR_STRICT_NOT_IN_SOURCE
1977,Creski udić — pršut od ovce,creski-udic-prsut-od-ovce,draft,https://drycured.com/?post_type=dry_recipe&p=1977,,,HR-CRES-UDIC-001,Sirijski sudžuk,0.400,SERVER_HR_STRICT_NOT_IN_SOURCE
1978,Creska janjeća roštilj kobasica,creska-janjeca-rostilj-kobasica,draft,https://drycured.com/?post_type=dry_recipe&p=1978,,,HR-CRES-JANJECA-ROSTILJ-001,Roštilj kobasice,0.638,SERVER_HR_STRICT_NOT_IN_SOURCE
1996,Tradicionalni suhomesnati proizvodi Slavonije,tradicionalni-suhomesnati-proizvodi-slavonije,draft,https://drycured.com/?post_type=dry_recipe&p=1996,,,HR-TRADICIONALNI_SUHOMESNATI_PROIZVODI_SLAVON-0021,Teleća ili svinjska jetrena pašteta,0.350,SERVER_HR_STRICT_NOT_IN_SOURCE
1997,Etnografska studija kulinarskog naslijeđa,etnografska-studija-kulinarskog-naslijeda,draft,https://drycured.com/?post_type=dry_recipe&p=1997,,,HR-ETNOGRAFSKA_STUDIJA_KULINARSKOG_NASLIJE_A-0022,Vinogradarske kobasice,0.476,SERVER_HR_STRICT_NOT_IN_SOURCE
1998,Tradicionalni suhomesnati proizvodi,tradicionalni-suhomesnati-proizvodi,draft,https://drycured.com/?post_type=dry_recipe&p=1998,,,HR-TRADICIONALNI_SUHOMESNATI_PROIZVODI-0023,Teleća ili svinjska jetrena pašteta,0.343,SERVER_HR_STRICT_NOT_IN_SOURCE
2076,"Senjska Morska Panceta ""Bura Intenzitet""",senjska-morska-panceta-bura-intenzitet,publish,https://drycured.com/recepti-baza/senjska-morska-panceta-bura-intenzitet/,,,MD-SENJSKA_MORSKA_PANCETA_BURA_INTENZITET,Samoborske češnjovke,0.414,SERVER_HR_STRICT_NOT_IN_SOURCE
2087,Podravska Krvavica,podravska-krvavica,private,https://drycured.com/?post_type=dry_recipe&p=2087,,,MD-PODRAVSKA_KRVAVICA,Podravske kobasice,0.722,SERVER_HR_STRICT_NOT_IN_SOURCE
2101,Vinkovački Slavonski Kulen - Stara obiteljska receptura,vinkovacki-slavonski-kulen-stara-obiteljska-receptura,publish,https://drycured.com/recepti-baza/vinkovacki-slavonski-kulen-stara-obiteljska-receptura/,,,MD-VINKOVACKI_SLAVONSKI_KULEN_STARA_OBITELJSKA_RECEPTURA,Domaće slaninske kobasice,0.436,SERVER_HR_STRICT_NOT_IN_SOURCE
