ID,post_title,post_name,post_status,permalink,meta_key_count,has_full_markdown,has_sections,has_verified_process,has_recipe_data,has_any_json_data,has_casing_terms,has_granulation_terms,has_garlic_terms,has_process_terms,forbidden_meta_count,forbidden_meta_terms,contract_readiness,contract_gap,public_risk
2972,Slavonski kulen (PDO EU),hr-sl-001-slavonski-kulen-pdo-eu,publish,https://drycured.com/recepti-baza/hr-sl-001-slavonski-kulen-pdo-eu/,36,1,1,1,0,0,1,1,1,1,0,,CONTRACT_BUILD_CANDIDATE_HIGH,LOW_TO_MEDIUM,PUBLIC_NO_META_FALLBACK_FOUND
2973,Kulenova seka,hr-sl-002-kulenova-seka,publish,https://drycured.com/recepti-baza/hr-sl-002-kulenova-seka/,50,1,1,1,0,0,1,1,1,1,0,,CONTRACT_BUILD_CANDIDATE_HIGH,LOW_TO_MEDIUM,PUBLIC_NO_META_FALLBACK_FOUND
2974,Baranjski kulen (ZOZP EU),hr-sl-003-baranjski-kulen-zozp-eu,publish,https://drycured.com/recepti-baza/hr-sl-003-baranjski-kulen-zozp-eu/,39,1,1,1,0,0,1,1,1,1,0,,CONTRACT_BUILD_CANDIDATE_HIGH,LOW_TO_MEDIUM,PUBLIC_NO_META_FALLBACK_FOUND
2975,Đakovački kulen,hr-sl-004-dakovacki-kulen,publish,https://drycured.com/recepti-baza/hr-sl-004-dakovacki-kulen/,39,1,1,1,0,0,1,1,1,1,0,,CONTRACT_BUILD_CANDIDATE_HIGH,LOW_TO_MEDIUM,PUBLIC_NO_META_FALLBACK_FOUND
2976,Slavonska domaća kobasica,hr-sl-005-slavonska-domaca-kobasica,publish,https://drycured.com/recepti-baza/hr-sl-005-slavonska-domaca-kobasica/,39,1,1,1,0,0,1,1,1,1,0,,CONTRACT_BUILD_CANDIDATE_HIGH,LOW_TO_MEDIUM,PUBLIC_NO_META_FALLBACK_FOUND
2977,Srijemska kobasica (OGP),hr-sl-006-srijemska-kobasica-ogp,publish,https://drycured.com/recepti-baza/hr-sl-006-srijemska-kobasica-ogp/,39,1,1,1,0,0,1,1,1,1,0,,CONTRACT_BUILD_CANDIDATE_HIGH,LOW_TO_MEDIUM,PUBLIC_NO_META_FALLBACK_FOUND
2979,Baranjska kobasica,hr-sl-008-baranjska-kobasica,publish,https://drycured.com/recepti-baza/hr-sl-008-baranjska-kobasica/,39,1,1,1,0,0,1,1,1,1,0,,CONTRACT_BUILD_CANDIDATE_HIGH,LOW_TO_MEDIUM,PUBLIC_NO_META_FALLBACK_FOUND
2981,Slavonska kobasica (ZOI EU 2023),hr-sl-010-slavonska-kobasica-zoi-eu-2023,publish,https://drycured.com/recepti-baza/hr-sl-010-slavonska-kobasica-zoi-eu-2023/,39,1,1,1,0,0,1,1,1,1,0,,CONTRACT_BUILD_CANDIDATE_HIGH,LOW_TO_MEDIUM,PUBLIC_NO_META_FALLBACK_FOUND
2996,Brodska kobasica (Slavonski Brod),hr-sl-030-brodska-kobasica-slavonski-brod,publish,https://drycured.com/recepti-baza/hr-sl-030-brodska-kobasica-slavonski-brod/,30,1,1,1,0,0,1,1,1,1,0,,CONTRACT_BUILD_CANDIDATE_HIGH,LOW_TO_MEDIUM,PUBLIC_NO_META_FALLBACK_FOUND
2997,Osječka kobasica,hr-sl-031-osjecka-kobasica,publish,https://drycured.com/recepti-baza/hr-sl-031-osjecka-kobasica/,30,1,1,1,0,0,1,1,1,1,0,,CONTRACT_BUILD_CANDIDATE_HIGH,LOW_TO_MEDIUM,PUBLIC_NO_META_FALLBACK_FOUND
3000,Slavonska domaća salama,hr-sl-034-slavonska-domaca-salama,publish,https://drycured.com/recepti-baza/hr-sl-034-slavonska-domaca-salama/,30,1,1,1,0,0,1,1,1,1,0,,CONTRACT_BUILD_CANDIDATE_HIGH,LOW_TO_MEDIUM,PUBLIC_NO_META_FALLBACK_FOUND
3001,Slavonska čvarkovača (kobasica od čvaraka),hr-sl-036-slavonska-cvarkovaca-kobasica-od-cvaraka,publish,https://drycured.com/recepti-baza/hr-sl-036-slavonska-cvarkovaca-kobasica-od-cvaraka/,30,1,1,1,0,0,1,1,1,1,0,,CONTRACT_BUILD_CANDIDATE_HIGH,LOW_TO_MEDIUM,PUBLIC_NO_META_FALLBACK_FOUND
3002,Vinkovačka kobasica,hr-sl-037-vinkovacka-kobasica,publish,https://drycured.com/recepti-baza/hr-sl-037-vinkovacka-kobasica/,30,1,1,1,0,0,1,1,1,1,0,,CONTRACT_BUILD_CANDIDATE_HIGH,LOW_TO_MEDIUM,PUBLIC_NO_META_FALLBACK_FOUND
3003,Slavonska lovačka kobasica (divljač + svinjetina),hr-sl-038-slavonska-lovacka-kobasica-divljac-svinjetina,publish,https://drycured.com/recepti-baza/hr-sl-038-slavonska-lovacka-kobasica-divljac-svinjetina/,30,1,1,1,0,0,1,1,1,1,0,,CONTRACT_BUILD_CANDIDATE_HIGH,LOW_TO_MEDIUM,PUBLIC_NO_META_FALLBACK_FOUND
3308,Istarska kobasica,hr-is-001-istarska-kobasica,publish,https://drycured.com/recepti-baza/hr-is-001-istarska-kobasica/,39,1,1,1,0,0,1,1,1,1,0,,CONTRACT_BUILD_CANDIDATE_HIGH,LOW_TO_MEDIUM,PUBLIC_NO_META_FALLBACK_FOUND
3309,Rovinjska kobasica,hr-is-002-rovinjska-kobasica,publish,https://drycured.com/recepti-baza/hr-is-002-rovinjska-kobasica/,39,1,1,1,0,0,1,1,1,1,0,,CONTRACT_BUILD_CANDIDATE_HIGH,LOW_TO_MEDIUM,PUBLIC_NO_META_FALLBACK_FOUND
3310,Pazinska kobasica,hr-is-003-pazinska-kobasica,publish,https://drycured.com/recepti-baza/hr-is-003-pazinska-kobasica/,39,1,1,1,0,0,1,1,1,1,0,,CONTRACT_BUILD_CANDIDATE_HIGH,LOW_TO_MEDIUM,PUBLIC_NO_META_FALLBACK_FOUND
3311,Lička kobasica,hr-li-001-licka-kobasica,publish,https://drycured.com/recepti-baza/hr-li-001-licka-kobasica/,39,1,1,1,0,0,1,1,1,1,0,,CONTRACT_BUILD_CANDIDATE_HIGH,LOW_TO_MEDIUM,PUBLIC_NO_META_FALLBACK_FOUND
3312,Sinjska kobasica,hr-da-001-sinjska-kobasica,publish,https://drycured.com/recepti-baza/hr-da-001-sinjska-kobasica/,39,1,1,1,0,0,1,1,1,1,0,,CONTRACT_BUILD_CANDIDATE_HIGH,LOW_TO_MEDIUM,PUBLIC_NO_META_FALLBACK_FOUND
3313,Korčulanska kobasica,hr-da-002-korculanska-kobasica,publish,https://drycured.com/recepti-baza/hr-da-002-korculanska-kobasica/,39,1,1,1,0,0,1,1,1,1,0,,CONTRACT_BUILD_CANDIDATE_HIGH,LOW_TO_MEDIUM,PUBLIC_NO_META_FALLBACK_FOUND
3314,Hvarska prstena kobasica,hr-da-003-hvarska-prstena-kobasica,publish,https://drycured.com/recepti-baza/hr-da-003-hvarska-prstena-kobasica/,39,1,1,1,0,0,1,1,1,1,0,,CONTRACT_BUILD_CANDIDATE_HIGH,LOW_TO_MEDIUM,PUBLIC_NO_META_FALLBACK_FOUND
3315,Vrgorački kulen,hr-da-004-vrgoracki-kulen,publish,https://drycured.com/recepti-baza/hr-da-004-vrgoracki-kulen/,39,1,1,1,0,0,1,1,1,1,0,,CONTRACT_BUILD_CANDIDATE_HIGH,LOW_TO_MEDIUM,PUBLIC_NO_META_FALLBACK_FOUND
3524,Privatno: PREVIEW CANON — Slavonska domaća kobasica,preview-canon-preview-canon-slavonska-kobasica-src-2976,private,https://drycured.com/?post_type=dry_recipe&p=3524,63,1,1,1,0,0,1,1,1,1,0,,CONTRACT_BUILD_CANDIDATE_HIGH,LOW_TO_MEDIUM,NOT_PUBLIC_OR_PREVIEW
3532,Privatno: PREVIEW GRANULACIJA — Kulenova seka,preview-granulation-kulenova-seka-src-2973,private,https://drycured.com/?post_type=dry_recipe&p=3532,54,1,1,1,0,0,1,1,1,1,0,,CONTRACT_BUILD_CANDIDATE_HIGH,LOW_TO_MEDIUM,NOT_PUBLIC_OR_PREVIEW
2978,Privatno: Ratarske kobasice,hr-sl-007-ratarske-kobasice,private,https://drycured.com/?post_type=dry_recipe&p=2978,20,1,1,0,0,0,1,1,1,1,0,,CONTRACT_BUILD_CANDIDATE_MEDIUM,LOW_TO_MEDIUM,NOT_PUBLIC_OR_PREVIEW
2980,Privatno: Baranjska salama,hr-sl-009-baranjska-salama,private,https://drycured.com/?post_type=dry_recipe&p=2980,29,1,1,0,0,0,1,1,1,1,0,,CONTRACT_BUILD_CANDIDATE_MEDIUM,LOW_TO_MEDIUM,NOT_PUBLIC_OR_PREVIEW
2982,Privatno: Slavonska dimljena slanina,hr-sl-012-slavonska-dimljena-slanina,private,https://drycured.com/?post_type=dry_recipe&p=2982,27,1,1,0,0,0,1,1,1,1,0,,CONTRACT_BUILD_CANDIDATE_MEDIUM,LOW_TO_MEDIUM,NOT_PUBLIC_OR_PREVIEW
2983,Privatno: Slavonska dimljena šunka,hr-sl-014-slavonska-dimljena-sunka,private,https://drycured.com/?post_type=dry_recipe&p=2983,27,1,1,0,0,0,1,1,1,1,4,prema receptu,CONTRACT_BUILD_CANDIDATE_MEDIUM,LOW_TO_MEDIUM,NOT_PUBLIC_OR_PREVIEW
2984,Privatno: Suha plećka slavonska,hr-sl-015-suha-plecka-slavonska,private,https://drycured.com/?post_type=dry_recipe&p=2984,18,1,1,0,0,0,1,1,1,1,0,,CONTRACT_BUILD_CANDIDATE_MEDIUM,LOW_TO_MEDIUM,NOT_PUBLIC_OR_PREVIEW
2985,Privatno: Suha rebra slavonska,hr-sl-016-suha-rebra-slavonska,private,https://drycured.com/?post_type=dry_recipe&p=2985,18,1,1,0,0,0,1,1,1,1,0,,CONTRACT_BUILD_CANDIDATE_MEDIUM,LOW_TO_MEDIUM,NOT_PUBLIC_OR_PREVIEW
2986,Privatno: Slavonska jetrena kobasica,hr-sl-017-slavonska-jetrena-kobasica,private,https://drycured.com/?post_type=dry_recipe&p=2986,27,1,1,0,0,0,1,1,1,1,0,,CONTRACT_BUILD_CANDIDATE_MEDIUM,LOW_TO_MEDIUM,NOT_PUBLIC_OR_PREVIEW
2987,Privatno: Krvavica slavonska,hr-sl-018-krvavica-slavonska,private,https://drycured.com/?post_type=dry_recipe&p=2987,27,1,1,0,0,0,1,1,1,1,4,prema receptu,CONTRACT_BUILD_CANDIDATE_MEDIUM,LOW_TO_MEDIUM,NOT_PUBLIC_OR_PREVIEW
2988,Privatno: Tlačenica slavonska (švargl),hr-sl-019-tlacenica-slavonska-svargl,private,https://drycured.com/?post_type=dry_recipe&p=2988,27,1,1,0,0,0,1,1,1,1,2,prema receptu,CONTRACT_BUILD_CANDIDATE_MEDIUM,LOW_TO_MEDIUM,NOT_PUBLIC_OR_PREVIEW
2989,Privatno: Vinkovačka šunka — suho soljena varijanta,hr-sl-020-vinkovacka-sunka-suho-soljena-varijanta,private,https://drycured.com/?post_type=dry_recipe&p=2989,17,1,1,0,0,0,1,1,1,1,4,prema receptu,CONTRACT_BUILD_CANDIDATE_MEDIUM,LOW_TO_MEDIUM,NOT_PUBLIC_OR_PREVIEW
2990,Privatno: Slavonski lovački kulen (divljač + svinjetina),hr-sl-021-slavonski-lovacki-kulen-divljac-svinjetina,private,https://drycured.com/?post_type=dry_recipe&p=2990,27,1,1,0,0,0,1,1,1,1,0,,CONTRACT_BUILD_CANDIDATE_MEDIUM,LOW_TO_MEDIUM,NOT_PUBLIC_OR_PREVIEW
2991,"Privatno: Konjska salama Ploštine (talijanska manjina, Pakrac)",hr-sl-022-konjska-salama-plostine-talijanska-manjina-pakrac,private,https://drycured.com/?post_type=dry_recipe&p=2991,18,1,1,0,0,0,1,1,1,1,0,,CONTRACT_BUILD_CANDIDATE_MEDIUM,LOW_TO_MEDIUM,NOT_PUBLIC_OR_PREVIEW
2992,Privatno: Slavonski dimljeni svinjski vrat,hr-sl-024-slavonski-dimljeni-svinjski-vrat,private,https://drycured.com/?post_type=dry_recipe&p=2992,27,1,1,0,0,0,1,1,1,1,0,,CONTRACT_BUILD_CANDIDATE_MEDIUM,LOW_TO_MEDIUM,NOT_PUBLIC_OR_PREVIEW
2993,Privatno: Slavonski suhi vrat (ovratina),hr-sl-027-slavonski-suhi-vrat-ovratina,private,https://drycured.com/?post_type=dry_recipe&p=2993,18,1,1,0,0,0,1,1,1,1,0,,CONTRACT_BUILD_CANDIDATE_MEDIUM,LOW_TO_MEDIUM,NOT_PUBLIC_OR_PREVIEW
2994,Privatno: Baranjska šunka,hr-sl-028-baranjska-sunka,private,https://drycured.com/?post_type=dry_recipe&p=2994,18,1,1,0,0,0,1,1,1,1,4,prema receptu,CONTRACT_BUILD_CANDIDATE_MEDIUM,LOW_TO_MEDIUM,NOT_PUBLIC_OR_PREVIEW
2995,Privatno: Đakovačka šunka,hr-sl-029-dakovacka-sunka,private,https://drycured.com/?post_type=dry_recipe&p=2995,18,1,1,0,0,0,1,1,1,1,4,prema receptu,CONTRACT_BUILD_CANDIDATE_MEDIUM,LOW_TO_MEDIUM,NOT_PUBLIC_OR_PREVIEW
2998,Privatno: Slavonska krvavica od prosa (bijela),hr-sl-032-slavonska-krvavica-od-prosa-bijela,private,https://drycured.com/?post_type=dry_recipe&p=2998,18,1,1,0,0,0,1,1,1,1,4,prema receptu,CONTRACT_BUILD_CANDIDATE_MEDIUM,LOW_TO_MEDIUM,NOT_PUBLIC_OR_PREVIEW
2999,Privatno: Slavonska šunka od crne slavonske svinje,hr-sl-033-slavonska-sunka-od-crne-slavonske-svinje,private,https://drycured.com/?post_type=dry_recipe&p=2999,18,1,1,0,0,0,1,1,1,1,4,prema receptu,CONTRACT_BUILD_CANDIDATE_MEDIUM,LOW_TO_MEDIUM,NOT_PUBLIC_OR_PREVIEW
3020,Privatno: Albanska proshutë / sušena šunka – kategorijski radni zapis,albanska-proshute-susena-sunka-radni-zapis,private,https://drycured.com/?post_type=dry_recipe&p=3020,37,1,1,0,0,0,1,1,1,1,0,,CONTRACT_BUILD_CANDIDATE_MEDIUM,LOW_TO_MEDIUM,NOT_PUBLIC_OR_PREVIEW
3021,Privatno: Vorarlberger Mostbröckle – sušena i dimljena govedina,vorarlberger-mostbroeckle-susena-dimljena-govedina,private,https://drycured.com/?post_type=dry_recipe&p=3021,36,1,1,0,0,0,1,1,1,1,4,privatni radni recept; radni recept,CONTRACT_BUILD_CANDIDATE_MEDIUM,LOW_TO_MEDIUM,NOT_PUBLIC_OR_PREVIEW
