ID,post_title,post_name,url,http_code,html_forbidden_count,html_forbidden_terms,has_granulation_mm_html,has_casing_html,has_garlic_html
1982,FINOCCHIONA TOSCANA,finocchiona-toscana,https://drycured.com/recepti-baza/finocchiona-toscana/,200,5,hladna masa; fallback,1,1,1
1983,PROSCIUTTO DI SAN DANIELE,prosciutto-di-san-daniele,https://drycured.com/recepti-baza/prosciutto-di-san-daniele/,200,5,hladna masa; fallback,1,1,1
1984,NDUJA CALABRESE,nduja-calabrese,https://drycured.com/recepti-baza/nduja-calabrese/,200,5,hladna masa; fallback,1,1,1
1986,LARDO DI COLONNATA,lardo-di-colonnata,https://drycured.com/recepti-baza/lardo-di-colonnata/,200,5,hladna masa; fallback,1,1,1
1988,SOPPRESSA VICENTINA,soppressa-vicentina,https://drycured.com/recepti-baza/soppressa-vicentina/,200,63,hladna masa; fallback; radni recept,1,1,1
1990,SALAME DI FELINO,salame-di-felino,https://drycured.com/recepti-baza/salame-di-felino/,200,5,hladna masa; fallback,1,1,1
1991,GUANCIALE ROMANO,guanciale-romano,https://drycured.com/recepti-baza/guanciale-romano/,200,63,hladna masa; fallback; radni recept,1,1,1
2018,Irska salama (Spiced Irish Salami),irska-salama-spiced-irish-salami,https://drycured.com/recepti-baza/irska-salama-spiced-irish-salami/,200,65,prema receptu; hladna masa; fallback; radni recept,1,1,1
2021,Cumberland kobasica,cumberland-kobasica,https://drycured.com/recepti-baza/cumberland-kobasica/,200,66,prema receptu; hladna masa; fallback; radni recept,1,1,1
2023,?? Grčki tradicionalni recept &#8211; Loukaniko,grcki-tradicionalni-recept-loukaniko,https://drycured.com/recepti-baza/grcki-tradicionalni-recept-loukaniko/,200,64,prema receptu; hladna masa; fallback; radni recept,1,1,1
2026,?? Španjolski recept za chorizo,spanjolski-recept-za-chorizo,https://drycured.com/recepti-baza/spanjolski-recept-za-chorizo/,200,64,prema receptu; hladna masa; fallback; radni recept,1,1,1
2028,Češki Špekáček (Špek Kobasica),ceski-spekacek-spek-kobasica,https://drycured.com/recepti-baza/ceski-spekacek-spek-kobasica/,200,64,prema receptu; hladna masa; fallback; radni recept,1,1,1
2029,JAMBON DE BAYONNE,jambon-de-bayonne,https://drycured.com/recepti-baza/jambon-de-bayonne/,200,63,hladna masa; fallback; radni recept,1,1,1
2032,Coppa (Kapula),coppa-kapula,https://drycured.com/recepti-baza/coppa-kapula/,200,63,hladna masa; fallback; radni recept,1,1,1
2033,Andouille de Guémené,andouille-de-guemene,https://drycured.com/recepti-baza/andouille-de-guemene/,200,65,prema receptu; hladna masa; fallback; radni recept,1,1,1
2037,Hangikjöt (Dimljeni janjeti but),hangikjot-dimljeni-janjeti-but,https://drycured.com/recepti-baza/hangikjot-dimljeni-janjeti-but/,200,5,hladna masa; fallback,1,1,1
2039,Ukrajinska Domashnia Kovbasa (Domaća Kobasica),ukrajinska-domashnia-kovbasa-domaca-kobasica,https://drycured.com/recepti-baza/ukrajinska-domashnia-kovbasa-domaca-kobasica/,200,64,prema receptu; hladna masa; fallback; radni recept,1,1,1
2042,BALMOȘ CU SLANINĂ (PALENTA SA SLANINOM),balmos-cu-slanina-palenta-sa-slaninom,https://drycured.com/recepti-baza/balmos-cu-slanina-palenta-sa-slaninom/,200,63,hladna masa; fallback; radni recept,1,1,1
2043,PFÄLZER SAUMAGEN (FALAČKA SVINJSKA ŽELUDAC-KOBASICA),pfalzer-saumagen-falacka-svinjska-zeludac-kobasica,https://drycured.com/recepti-baza/pfalzer-saumagen-falacka-svinjska-zeludac-kobasica/,200,64,prema receptu; hladna masa; fallback; radni recept,1,1,1
2047,Domaći Bratwurst,domaci-bratwurst,https://drycured.com/recepti-baza/domaci-bratwurst/,200,64,prema receptu; hladna masa; fallback; radni recept,1,1,1
2049,Hausmacher Mettwurst (Domaća dimljena kobasica za mazanje),hausmacher-mettwurst-domaca-dimljena-kobasica-za-mazanje,https://drycured.com/recepti-baza/hausmacher-mettwurst-domaca-dimljena-kobasica-za-mazanje/,200,64,prema receptu; hladna masa; fallback; radni recept,1,1,1
2051,ŠKOTSKI LORNE SAUSAGE (ČETVRTASTI KOBASIČASTI ODREZAK),skotski-lorne-sausage-cetvrtasti-kobasicasti-odrezak,https://drycured.com/recepti-baza/skotski-lorne-sausage-cetvrtasti-kobasicasti-odrezak/,200,64,prema receptu; hladna masa; fallback; radni recept,1,1,1
2052,Jamón Ibérico de Bellota &#8211; Iberijski Pršut od Žira,jamon-iberico-de-bellota-iberijski-prsut-od-zira,https://drycured.com/recepti-baza/jamon-iberico-de-bellota-iberijski-prsut-od-zira/,200,63,hladna masa; fallback; radni recept,1,1,1
2053,Chorizo de Pamplona &#8211; Čorizo iz Pamplone,chorizo-de-pamplona-corizo-iz-pamplone,https://drycured.com/recepti-baza/chorizo-de-pamplona-corizo-iz-pamplone/,200,65,prema receptu; hladna masa; fallback; radni recept,1,1,1
2055,Coppa Piacentina &#8211; Piacentinska Coppa,coppa-piacentina-piacentinska-coppa,https://drycured.com/recepti-baza/coppa-piacentina-piacentinska-coppa/,200,63,hladna masa; fallback; radni recept,1,1,1
2056,Nduja Calabrese &#8211; Kalabrijska Nduja,nduja-calabrese-kalabrijska-nduja,https://drycured.com/recepti-baza/nduja-calabrese-kalabrijska-nduja/,200,64,prema receptu; hladna masa; fallback; radni recept,1,1,1
