ID,post_title,post_name,post_status,permalink,meta_key_count,has_full_markdown,has_sections,has_verified_process,has_recipe_data,has_any_json_data,has_casing_terms,has_granulation_terms,has_garlic_terms,has_process_terms,forbidden_meta_count,forbidden_meta_terms,contract_readiness,contract_gap,public_risk
2428,Durmitorska kastradina,durmitorska-kastradina,publish,https://drycured.com/recepti-baza/durmitorska-kastradina/,18,1,0,0,1,0,1,1,1,1,1,prema receptu,CONTRACT_BUILD_CANDIDATE_MARKDOWN_ONLY,LOW_TO_MEDIUM,PUBLIC_FALLBACK_RISK
2474,Tradicionalna engleska šunka (Wiltshire Ham),tradicionalna-engleska-sunka-wiltshire-ham,publish,https://drycured.com/recepti-baza/tradicionalna-engleska-sunka-wiltshire-ham/,18,1,0,0,1,0,1,1,1,1,2,prema receptu,CONTRACT_BUILD_CANDIDATE_MARKDOWN_ONLY,LOW_TO_MEDIUM,PUBLIC_FALLBACK_RISK
2505,METSOPAISTI (SUHO-SALAMURENI TETRIJEB),metsopaisti-suho-salamureni-tetrijeb,publish,https://drycured.com/recepti-baza/metsopaisti-suho-salamureni-tetrijeb/,17,1,0,0,1,0,1,1,1,1,2,prema receptu,CONTRACT_BUILD_CANDIDATE_MARKDOWN_ONLY,LOW_TO_MEDIUM,PUBLIC_FALLBACK_RISK
2558,Pounje Planinski Vrtlog,pounje-planinski-vrtlog,publish,https://drycured.com/recepti-baza/pounje-planinski-vrtlog/,28,1,0,0,1,0,1,1,1,1,1,prema receptu,CONTRACT_BUILD_CANDIDATE_MARKDOWN_ONLY,LOW_TO_MEDIUM,PUBLIC_FALLBACK_RISK
3026,Scharfe Edelrohwurst s povrćem na žaru,scharfe-edelrohwurst-s-povrcem-na-zaru,publish,https://drycured.com/recepti-baza/scharfe-edelrohwurst-s-povrcem-na-zaru/,42,1,1,0,0,0,1,1,1,1,3,prema receptu,CONTRACT_BUILD_CANDIDATE_MEDIUM,LOW_TO_MEDIUM,PUBLIC_FALLBACK_RISK
3027,ENGADINER HATECLETT (SUŠENI KOZJI BUT),engadiner-hateclett-suseni-kozji-but-2,publish,https://drycured.com/recepti-baza/engadiner-hateclett-suseni-kozji-but-2/,42,1,1,0,0,0,1,1,1,1,1,prema receptu,CONTRACT_BUILD_CANDIDATE_MEDIUM,LOW_TO_MEDIUM,PUBLIC_FALLBACK_RISK
3064,Proshuta Shqiptare – albanska pršuta,0003-proshuta-shqiptare-albanska-prsuta,publish,https://drycured.com/recepti-baza/0003-proshuta-shqiptare-albanska-prsuta/,23,1,1,0,0,0,1,0,1,1,1,radni recept,CONTRACT_BUILD_CANDIDATE_MEDIUM,MEDIUM,PUBLIC_FALLBACK_RISK
3068,Vorarlberger Mostbröckle – vorarlberška dimljena govedina,0010-vorarlberger-mostbrockle-vorarlberska-dimljena-govedina,publish,https://drycured.com/recepti-baza/0010-vorarlberger-mostbrockle-vorarlberska-dimljena-govedina/,23,1,1,0,0,0,1,0,1,1,1,radni recept,CONTRACT_BUILD_CANDIDATE_MEDIUM,MEDIUM,PUBLIC_FALLBACK_RISK
3099,Tsamarella (Τσαμαρέλλα),tsamarella,publish,https://drycured.com/recepti-baza/tsamarella/,13,1,0,0,0,0,1,1,1,1,1,prema receptu,CONTRACT_BUILD_CANDIDATE_MARKDOWN_ONLY,LOW_TO_MEDIUM,PUBLIC_FALLBACK_RISK
3103,Tsamarella (Τσαμαρέλλα) &#8211; Sušena kozletina,tsamarella-susena-kozletina,publish,https://drycured.com/recepti-baza/tsamarella-susena-kozletina/,13,1,0,0,0,0,1,1,1,1,1,prema receptu,CONTRACT_BUILD_CANDIDATE_MARKDOWN_ONLY,LOW_TO_MEDIUM,PUBLIC_FALLBACK_RISK
3120,Rogatički Planinsko-Morski Raritet &#8220;Vjetar i More&#8221;,rogaticki-planinsko-morski-raritet-vjetar-i-more,publish,https://drycured.com/recepti-baza/rogaticki-planinsko-morski-raritet-vjetar-i-more/,13,1,0,0,0,0,1,1,1,1,1,prema receptu,CONTRACT_BUILD_CANDIDATE_MARKDOWN_ONLY,LOW_TO_MEDIUM,PUBLIC_FALLBACK_RISK
