ID,post_title,post_name,post_status,permalink,meta_key_count,has_full_markdown,has_sections,has_verified_process,has_recipe_data,has_any_json_data,has_casing_terms,has_granulation_terms,has_garlic_terms,has_process_terms,forbidden_meta_count,forbidden_meta_terms,contract_readiness,contract_gap,public_risk
1975,Istarska kobasica,istarska-kobasica,draft,https://drycured.com/?post_type=dry_recipe&p=1975,8,0,0,0,1,0,1,1,1,1,0,,LEGACY_NEEDS_SOURCE_OR_STRUCTURING,LOW_TO_MEDIUM,NOT_PUBLIC_OR_PREVIEW
1976,Primorska kobasica,primorska-kobasica,draft,https://drycured.com/?post_type=dry_recipe&p=1976,7,0,0,0,1,0,1,1,0,1,0,,LEGACY_NEEDS_SOURCE_OR_STRUCTURING,LOW_TO_MEDIUM,NOT_PUBLIC_OR_PREVIEW
1977,Creski udić — pršut od ovce,creski-udic-prsut-od-ovce,draft,https://drycured.com/?post_type=dry_recipe&p=1977,7,0,0,0,1,0,0,0,0,1,0,,LEGACY_NEEDS_SOURCE_OR_STRUCTURING,MEDIUM,NOT_PUBLIC_OR_PREVIEW
1978,Creska janjeća roštilj kobasica,creska-janjeca-rostilj-kobasica,draft,https://drycured.com/?post_type=dry_recipe&p=1978,7,0,0,0,1,0,1,1,1,1,0,,LEGACY_NEEDS_SOURCE_OR_STRUCTURING,LOW_TO_MEDIUM,NOT_PUBLIC_OR_PREVIEW
1979,Testni recept iz kalkulatora,testni-recept-iz-kalkulatora,draft,https://drycured.com/?post_type=dry_recipe&p=1979,7,0,0,0,1,0,0,1,0,1,0,,LEGACY_NEEDS_SOURCE_OR_STRUCTURING,MEDIUM,NOT_PUBLIC_OR_PREVIEW
1980,Davorova kobasa,davorova-kobasa,draft,https://drycured.com/?post_type=dry_recipe&p=1980,7,0,0,0,1,0,1,0,1,1,0,,LEGACY_NEEDS_SOURCE_OR_STRUCTURING,MEDIUM,NOT_PUBLIC_OR_PREVIEW
1981,TRADICIJSKIH TALIJANSKIH RECEPATA ZA SUHOMESNATE PROIZVODE,tradicijskih-talijanskih-recepata-za-suhomesnate-proizvode,draft,https://drycured.com/?post_type=dry_recipe&p=1981,4,0,0,0,1,0,1,1,1,1,0,,LEGACY_NEEDS_SOURCE_OR_STRUCTURING,LOW_TO_MEDIUM,NOT_PUBLIC_OR_PREVIEW
1982,FINOCCHIONA TOSCANA,finocchiona-toscana,publish,https://drycured.com/recepti-baza/finocchiona-toscana/,13,1,0,0,1,0,1,1,1,1,0,,CONTRACT_BUILD_CANDIDATE_MARKDOWN_ONLY,LOW_TO_MEDIUM,PUBLIC_NO_META_FALLBACK_FOUND
1983,PROSCIUTTO DI SAN DANIELE,prosciutto-di-san-daniele,publish,https://drycured.com/recepti-baza/prosciutto-di-san-daniele/,13,1,0,0,1,0,1,1,1,1,0,,CONTRACT_BUILD_CANDIDATE_MARKDOWN_ONLY,LOW_TO_MEDIUM,PUBLIC_NO_META_FALLBACK_FOUND
1984,NDUJA CALABRESE,nduja-calabrese,publish,https://drycured.com/recepti-baza/nduja-calabrese/,13,1,0,0,1,0,1,1,1,1,0,,CONTRACT_BUILD_CANDIDATE_MARKDOWN_ONLY,LOW_TO_MEDIUM,PUBLIC_NO_META_FALLBACK_FOUND
1985,SPECK ALTO ADIGE,speck-alto-adige,draft,https://drycured.com/?post_type=dry_recipe&p=1985,4,0,0,0,1,0,0,0,0,1,0,,LEGACY_NEEDS_SOURCE_OR_STRUCTURING,MEDIUM,NOT_PUBLIC_OR_PREVIEW
1986,LARDO DI COLONNATA,lardo-di-colonnata,publish,https://drycured.com/recepti-baza/lardo-di-colonnata/,13,1,0,0,1,0,1,1,1,1,0,,CONTRACT_BUILD_CANDIDATE_MARKDOWN_ONLY,LOW_TO_MEDIUM,PUBLIC_NO_META_FALLBACK_FOUND
1987,Privatno: MORTADELLA BOLOGNA,mortadella-bologna,private,https://drycured.com/?post_type=dry_recipe&p=1987,11,1,0,0,1,0,1,1,1,1,0,,CONTRACT_BUILD_CANDIDATE_MARKDOWN_ONLY,LOW_TO_MEDIUM,NOT_PUBLIC_OR_PREVIEW
1988,SOPPRESSA VICENTINA,soppressa-vicentina,publish,https://drycured.com/recepti-baza/soppressa-vicentina/,13,1,0,0,1,0,1,1,1,1,0,,CONTRACT_BUILD_CANDIDATE_MARKDOWN_ONLY,LOW_TO_MEDIUM,PUBLIC_NO_META_FALLBACK_FOUND
1989,Privatno: PORCHETTA ROMANA,porchetta-romana,private,https://drycured.com/?post_type=dry_recipe&p=1989,11,1,0,0,1,0,1,1,1,1,0,,CONTRACT_BUILD_CANDIDATE_MARKDOWN_ONLY,LOW_TO_MEDIUM,NOT_PUBLIC_OR_PREVIEW
1990,SALAME DI FELINO,salame-di-felino,publish,https://drycured.com/recepti-baza/salame-di-felino/,13,1,0,0,1,0,1,1,1,1,0,,CONTRACT_BUILD_CANDIDATE_MARKDOWN_ONLY,LOW_TO_MEDIUM,PUBLIC_NO_META_FALLBACK_FOUND
1991,GUANCIALE ROMANO,guanciale-romano,publish,https://drycured.com/recepti-baza/guanciale-romano/,13,1,0,0,1,0,1,1,1,1,0,,CONTRACT_BUILD_CANDIDATE_MARKDOWN_ONLY,LOW_TO_MEDIUM,PUBLIC_NO_META_FALLBACK_FOUND
1992,Engleska Cumberland Kobasica,engleska-cumberland-kobasica,draft,https://drycured.com/?post_type=dry_recipe&p=1992,4,0,0,0,1,0,1,1,0,1,0,,LEGACY_NEEDS_SOURCE_OR_STRUCTURING,LOW_TO_MEDIUM,NOT_PUBLIC_OR_PREVIEW
1993,Škotska Lorne Kobasica,skotska-lorne-kobasica,draft,https://drycured.com/?post_type=dry_recipe&p=1993,4,0,0,0,1,0,1,1,0,1,0,,LEGACY_NEEDS_SOURCE_OR_STRUCTURING,LOW_TO_MEDIUM,NOT_PUBLIC_OR_PREVIEW
1994,Islandska Hangikjöt Kobasica,islandska-hangikjot-kobasica,draft,https://drycured.com/?post_type=dry_recipe&p=1994,4,0,0,0,1,0,1,1,0,1,0,,LEGACY_NEEDS_SOURCE_OR_STRUCTURING,LOW_TO_MEDIUM,NOT_PUBLIC_OR_PREVIEW
1995,Privatno: Posavska Krvavica sa Šumskim Začinima,posavska-krvavica-sa-sumskim-zacinima,private,https://drycured.com/?post_type=dry_recipe&p=1995,22,1,0,0,1,0,1,1,1,1,0,,CONTRACT_BUILD_CANDIDATE_MARKDOWN_ONLY,LOW_TO_MEDIUM,NOT_PUBLIC_OR_PREVIEW
1996,Tradicionalni suhomesnati proizvodi Slavonije,tradicionalni-suhomesnati-proizvodi-slavonije,draft,https://drycured.com/?post_type=dry_recipe&p=1996,4,0,0,0,1,0,1,0,0,1,0,,LEGACY_NEEDS_SOURCE_OR_STRUCTURING,MEDIUM,NOT_PUBLIC_OR_PREVIEW
1997,Etnografska studija kulinarskog naslijeđa,etnografska-studija-kulinarskog-naslijeda,draft,https://drycured.com/?post_type=dry_recipe&p=1997,4,0,0,0,1,0,1,0,0,1,0,,LEGACY_NEEDS_SOURCE_OR_STRUCTURING,MEDIUM,NOT_PUBLIC_OR_PREVIEW
1998,Tradicionalni suhomesnati proizvodi,tradicionalni-suhomesnati-proizvodi,draft,https://drycured.com/?post_type=dry_recipe&p=1998,4,0,0,0,1,0,1,0,0,1,0,,LEGACY_NEEDS_SOURCE_OR_STRUCTURING,MEDIUM,NOT_PUBLIC_OR_PREVIEW
1999,Salo (Сало) &#8211; Ukrajinska slanina,salo-%d1%81%d0%b0%d0%bb%d0%be-ukrajinska-slanina,draft,https://drycured.com/?post_type=dry_recipe&p=1999,4,0,0,0,1,0,0,0,1,1,0,,LEGACY_NEEDS_SOURCE_OR_STRUCTURING,MEDIUM,NOT_PUBLIC_OR_PREVIEW
2000,Domašnja Kovbasa (Домашня ковбаса) &#8211; Domaća kobasica,domasnja-kovbasa-%d0%b4%d0%be%d0%bc%d0%b0%d1%88%d0%bd%d1%8f-%d0%ba%d0%be%d0%b2%d0%b1%d0%b0%d1%81%d0%b0-domaca-kobasica,draft,https://drycured.com/?post_type=dry_recipe&p=2000,4,0,0,0,1,0,1,1,1,1,0,,LEGACY_NEEDS_SOURCE_OR_STRUCTURING,LOW_TO_MEDIUM,NOT_PUBLIC_OR_PREVIEW
