post_id,recipe_id,post_title,overrides_status,has_mljevenje,notes
3312,HR-DA-001,"Sinjska kobasica",PRAZAN,N,"nema overrides"
3313,HR-DA-002,"Korčulanska kobasica",PRAZAN,OK_6,"nema overrides"
3314,HR-DA-003,"Hvarska prstena kobasica",PRAZAN,OK_6,"nema overrides"
3315,HR-DA-004,"Vrgorački kulen",OK,OK_12,"mat=3 spice=3"
3308,HR-IS-001,"Istarska kobasica",OK,OK_10,"mat=2 spice=3"
3310,HR-IS-003,"Pazinska kobasica",PRAZAN,N,"nema overrides"
3541,HR-IS-004,"Žlomprt (istarski ombolo)",OK,N,"mat=1 spice=3"
3311,HR-LI-001,"Lička kobasica",OK,OK_9,"mat=3 spice=3"
3542,HR-MM-001,"Meso &#8216;z tiblice",OK,mlj_empty_meat,"mat=2 spice=3"
2972,HR-SL-001,"Slavonski kulen",PRAZAN,mlj_empty_meat,"nema overrides"
2973,HR-SL-002,"Kulenova seka",PRAZAN,N,"nema overrides"
2974,HR-SL-003,"Baranjski kulen",PRAZAN,OK_8,"nema overrides"
2975,HR-SL-004,"Đakovački kulen",PRAZAN,OK_8,"nema overrides"
2976,HR-SL-005,"Slavonska domaća kobasica",PRAZAN,OK_6,"nema overrides"
2977,HR-SL-006,"Srijemska kobasica",PRAZAN,OK_6,"nema overrides"
2979,HR-SL-008,"Baranjska kobasica",PRAZAN,OK_6,"nema overrides"
2981,HR-SL-010,"Slavonska kobasica",PRAZAN,OK_6,"nema overrides"
2996,HR-SL-030,"Brodska kobasica (Slavonski Brod)",PRAZAN,OK_6,"nema overrides"
2997,HR-SL-031,"Osječka kobasica",PRAZAN,OK_5,"nema overrides"
3000,HR-SL-034,"Slavonska domaća salama",PRAZAN,OK_5,"nema overrides"
3001,HR-SL-036,"Slavonska čvarkovača (kobasica od čvaraka)",PRAZAN,OK_8,"nema overrides"
3002,HR-SL-037,"Vinkovačka kobasica",PRAZAN,OK_6,"nema overrides"
3003,HR-SL-038,"Slavonska lovačka kobasica (divljač + svinjetina)",PRAZAN,OK_8,"nema overrides"
3190,MD-AFELIA_PASTARMA_CIPARSKA_MARINIRANA_GOVEDA_PISANICA,"Afelia Pastarma (Αφέλια Παστάρμα) &#8211; Ciparska marinirana goveđa pisanica",PRAZAN,N,"nema overrides"
3137,MD-APAKI,"Apaki (Απάκι)",PRAZAN,N,"nema overrides"
3105,MD-APOHTI_DIMLJENI_SVINJSKI_FILE,"Apohti (Απόχτι) &#8211; Dimljeni svinjski file",PRAZAN,N,"nema overrides"
3101,MD-APOHTIN,"Apohtin (Αποχτίν)",PRAZAN,N,"nema overrides"
3060,MD-APPENZELLER_MOSTBROCKLI_DIMLJENA_GOVEDINA,"Appenzeller Mostbröckli – švicarska sušena dimljena govedina",PRAZAN,N,"nema overrides"
3210,MD-ARBROATH_SMOKIES_DIMLJENA_HARINGA,"ARBROATH SMOKIES (DIMLJENA HARINGA)",PRAZAN,N,"nema overrides"
3132,MD-ARMATIA,"Armatia (Αρματιά)",PRAZAN,N,"nema overrides"
2687,MD-AYRSHIRE_PRESAVICA_AYRSHIRE_MIDDLE_CUT,"AYRSHIRE PRESAVICA (AYRSHIRE MIDDLE CUT)",PRAZAN,N,"nema overrides"
2616,MD-BALERON_POLJSKA_DIMLJENA_VRATINA,"BALERON (POLJSKA DIMLJENA VRATINA)",PRAZAN,N,"nema overrides"
3206,MD-BASTURMA_ZACINJENO_SUSENO_GOVEDE_MESO,"Basturma (Бастурма &#8211; Začinjeno sušeno goveđe meso)",PRAZAN,N,"nema overrides"
2470,MD-BATH_CHAPS_UKISELJENE_SVINJSKE_OBRAZINE,"Bath Chaps (ukiseljene svinjske obrazine)",PRAZAN,N,"nema overrides"
