meta_key	count_rows
_dry_recipe_id	924
_dry_recipe_data	667
_dry_calculator_ready	613
_dry_public_ready	613
_dry_recipe_full_markdown	544
_dry_archive_ready	525
_dry_canonical_status	436
_dry_recipe_params	434
_dry_legacy_hidden_before_batch01	431
_dry_legacy_hidden_date	431
_dry_legacy_hidden_reason	431
_dry_category	100
_dry_country	100
_dry_microregion	100
_dry_product_type	100
_dry_recipe_sections	100
_dry_region	100
_dry_source	100
_dry_canonical_batch	51
_dry_recipe_import_version	51
_dry_recipe_source_audit_reason	51
_dry_recipe_source_audit_status	51
_dry_recipe_view_status	39
_dry_recipe_previous_public_status	37
_dry_verified_process	24
_dry_verified_process_cluster	24
_dry_verified_process_date	24
_dry_verified_process_master_id	24
_dry_verified_process_version	24
_dry_taxonomy_mapping_version	9
_drycured_preview_only	9
_drycured_preview_set_key	9
_drycured_preview_source_post_id	9
_drycured_public_update_allowed	9
_drycured_preview_note	8
_drycured_preview_source_post_title	8
_dry_recipe_view_hold_reason	5
_dry_legacy_wp_title_match_id	2
_dry_legacy_wp_title_match_note	2
_dry_recipe_canon_source_post_id_backup	1
_dry_recipe_canon_work_id	1
_dry_recipe_casing_audit_status	1
_dry_recipe_granulation_audit_status	1
_dry_recipe_internal_granulation_source_note	1
_dry_recipe_noindex	1
_dry_recipe_preview_only	1
_dry_recipe_preview_token	1
_dry_recipe_public_casing_boiled	1
_dry_recipe_public_casing_display	1
_dry_recipe_public_casing_soaking	1
_dry_recipe_public_publish_allowed	1
_dry_recipe_public_source_mentions_removed	1
_dry_recipe_requires_final_human_check	1
_drycured_granulation_review_decision	1
_drycured_granulation_review_note	1
_drycured_preview_granulation_visible	1
_drycured_preview_granulation_visible_at	1
_drycured_preview_process_expanded	1
_drycured_preview_process_expanded_at	1

