post_id,title,url,post_status,detected_type,confidence,score_ground,score_whole,score_thermal,score_fish,has_granulation,has_fat_handling,has_casing,has_brine_or_cure,has_thermal_process,has_thermal_params,has_cold_chain,has_smoking,has_drying,has_aging,has_phase_time_or_params,has_nitrite,has_nitrite_note,has_fallback_internal,has_problem_signal,has_solution_signal,public_fetch_status,public_fetch_error,audit_status,public_update_gate,block_reasons,v1_1_final_type,v1_1_type_source,v1_1_type_reason,v1_1_public_update_gate,v1_1_block_reasons,v1_1_work_priority
1975,Istarska kobasica,https://drycured.com/?post_type=dry_recipe&p=1975,draft,GROUND_MEAT_OR_CASING,high,6,4,1,0,1,1,1,0,1,1,1,1,1,0,1,0,0,0,1,1,,,TYPE_PASS_READY_FOR_SOURCE_DOSSIER,PASS,,GROUND_MEAT_OR_CASING,KEEP,,PASS,,D_NONPUBLIC_REVIEW_READY
1976,Primorska kobasica,https://drycured.com/?post_type=dry_recipe&p=1976,draft,GROUND_MEAT_OR_CASING,high,6,1,0,0,1,0,1,0,0,0,1,1,1,1,1,0,0,0,1,0,,,TYPE_PASS_MISSING_FIELDS,FAIL,GROUND_MISSING_FAT_HANDLING;PROBLEM_WITHOUT_SOLUTION_SIGNAL,GROUND_MEAT_OR_CASING,KEEP,,FAIL,GROUND_MISSING_FAT_HANDLING;PROBLEM_WITHOUT_SOLUTION_SIGNAL,C_NONPUBLIC_BLOCKED
1977,Creski udić — pršut od ovce,https://drycured.com/?post_type=dry_recipe&p=1977,draft,WHOLE_CUT,medium,0,3,1,1,0,1,0,1,1,0,0,0,1,1,0,0,0,0,1,1,,,TYPE_PASS_MISSING_FIELDS,FAIL,PHASE_MISSING_TIME_OR_PARAMS,WHOLE_CUT,KEEP,WHOLE_CUT_TITLE:prsut,FAIL,PHASE_MISSING_TIME_OR_PARAMS,C_NONPUBLIC_BLOCKED
1978,Creska janjeća roštilj kobasica,https://drycured.com/?post_type=dry_recipe&p=1978,draft,GROUND_MEAT_OR_CASING,high,6,3,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,,,TYPE_PASS_MISSING_FIELDS,FAIL,GROUND_MISSING_FAT_HANDLING;PROBLEM_WITHOUT_SOLUTION_SIGNAL,GROUND_MEAT_OR_CASING,KEEP,,FAIL,GROUND_MISSING_FAT_HANDLING;PROBLEM_WITHOUT_SOLUTION_SIGNAL,C_NONPUBLIC_BLOCKED
1979,Testni recept iz kalkulatora,https://drycured.com/?post_type=dry_recipe&p=1979,draft,NEEDS_CLASSIFICATION,low,3,3,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,1,0,,,NEEDS_CLASSIFICATION,FAIL,NEEDS_CLASSIFICATION;PROBLEM_WITHOUT_SOLUTION_SIGNAL,NEEDS_CLASSIFICATION,BLOCK,NOISE_OR_COLLECTION:testni recept,FAIL,NEEDS_CLASSIFICATION;PROBLEM_WITHOUT_SOLUTION_SIGNAL,C_NONPUBLIC_BLOCKED
1980,Davorova kobasa,https://drycured.com/?post_type=dry_recipe&p=1980,draft,NEEDS_CLASSIFICATION,low,2,2,0,1,0,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,,,NEEDS_CLASSIFICATION,FAIL,NEEDS_CLASSIFICATION,NEEDS_CLASSIFICATION,BLOCK,NOISE_OR_COLLECTION:davorova kobasa,FAIL,NEEDS_CLASSIFICATION,C_NONPUBLIC_BLOCKED
1981,TRADICIJSKIH TALIJANSKIH RECEPATA ZA SUHOMESNATE PROIZVODE,https://drycured.com/?post_type=dry_recipe&p=1981,draft,GROUND_MEAT_OR_CASING,medium,3,1,0,1,1,1,1,0,0,1,1,0,1,0,1,1,0,0,1,0,,,TYPE_PASS_MISSING_FIELDS,FAIL,NITRITE_WITHOUT_SAFETY_NOTE;PROBLEM_WITHOUT_SOLUTION_SIGNAL,NEEDS_CLASSIFICATION,BLOCK,NOISE_OR_COLLECTION:tradicijskih,FAIL,NITRITE_WITHOUT_SAFETY_NOTE;PROBLEM_WITHOUT_SOLUTION_SIGNAL;NEEDS_CLASSIFICATION,C_NONPUBLIC_BLOCKED
1982,FINOCCHIONA TOSCANA,https://drycured.com/recepti-baza/finocchiona-toscana/,publish,GROUND_MEAT_OR_CASING,high,10,3,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,200,,TYPE_PASS_READY_FOR_SOURCE_DOSSIER,PASS,,GROUND_MEAT_OR_CASING,KEEP,,PASS,,B_PUBLIC_REVIEW_READY
1983,PROSCIUTTO DI SAN DANIELE,https://drycured.com/recepti-baza/prosciutto-di-san-daniele/,publish,WHOLE_CUT,high,6,9,0,2,0,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,200,,TYPE_PASS_READY_FOR_SOURCE_DOSSIER,PASS,,WHOLE_CUT,KEEP,"WHOLE_CUT_TITLE:prosciutto,san daniele",PASS,,B_PUBLIC_REVIEW_READY
1984,NDUJA CALABRESE,https://drycured.com/recepti-baza/nduja-calabrese/,publish,GROUND_MEAT_OR_CASING,high,9,3,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,200,,TYPE_PASS_READY_FOR_SOURCE_DOSSIER,PASS,,GROUND_MEAT_OR_CASING,KEEP,,PASS,,B_PUBLIC_REVIEW_READY
