name	status	update	version	update_version	auto_update
interactive-3d-flipbook-powered-physics-engine	active	none	1.16.19		off
akismet	active	available	5.3.7	5.7	off
all-in-one-seo-pack	active	available	4.7.9.1	4.9.7.2	off
bbpress	active	none	2.6.14		off
buddypress	inactive	available	14.3.3	14.4.0	off
digitalna-pusnica-alati	active	none	1.3.2		off
drycured-enciklopedija-znanja	active	none	1.1.0		off
drycured-home-podcast-runtime-card	active	none	2.1.0		off
drycured-kalkulator	active-network	none	3.0.0		off
drycured-podcast-archive	active	none	1.0.0		off
drycured-podcast-card-shortcode	inactive	none	1.0.0		off
drycured-podcast-style	active	none	1.0.0		off
drycured-recipe-core	active-network	none	0.2.23		off
elementor	active	available	3.27.6	4.0.9	off
elementor-pro	active	available	3.27.4	4.0.4	off
gtranslate	active	available	3.0.9	3.0.10	off
jwt-authentication-for-wp-rest-api	active	none	1.5.0		off
insert-headers-and-footers	active	available	2.2.5	2.3.5	off
wp-mail-smtp	active	none	4.8.0		off
wp-recipe-maker	active	available	9.8.2	10.6.0	off
drycured-platform-loader	must-use				off
drycured-savjeti-iz-pusnice	must-use				off
drycured-admin-guard	must-use				off
drycured-auth	must-use		1.0.0		off
drycured-book-inquiry	must-use				off
drycured-book-preview	must-use				off
drycured-book-preview-style	must-use				off
drycured-book-shadow-soft-fix	must-use				off
drycured-ez-audience-home-cards	must-use				off
drycured-gt-killfloat	must-use				off
drycured-gtranslate	must-use				off
drycured-home-card-border-fix	must-use				off
drycured-home-clean-css	must-use				off
drycured-home-placeholder-redirects	must-use				off
drycured-infografike	must-use				off
drycured-mail-debug	must-use				off
drycured-profile-settings	must-use				off
drycured-savjet-home-injector	must-use				off
drycured-search	must-use		1.0.0		off
drycured-search-assets	must-use				off
