id,title,source_file,master_file,type,zone,status,has_product_miniatures,webp_file,thumb_file,original_width,original_height,web_width,web_height,thumb_width,thumb_height,web_size_kb,thumb_size_kb,export_status
atlas_eu_cijela,Cijela Europa,cijela.png,atlas_eu_cijela.png,pregledna,Europa,active,yes,atlas_eu_cijela.webp,atlas_eu_cijela_thumb.webp,1536,1024,1536,1024,640,427,586.2,69.8,ok
atlas_eu_mediteran,Mediteranski pojas,mediteran.png,atlas_eu_mediteran.png,pregledna,Mediteran,active,yes,atlas_eu_mediteran.webp,atlas_eu_mediteran_thumb.webp,1717,916,1717,916,640,341,490.1,52.2,ok
atlas_eu_balkan,Balkan,balkan.png,atlas_eu_balkan.png,pregledna,Balkan,active,yes,atlas_eu_balkan.webp,atlas_eu_balkan_thumb.webp,1536,1024,1536,1024,640,427,611.9,84.1,ok
atlas_eu_panonska,Panonska Europa,panonska.png,atlas_eu_panonska.png,pregledna,Panonski prostor,active,yes,atlas_eu_panonska.webp,atlas_eu_panonska_thumb.webp,1536,1024,1536,1024,640,427,692.9,94.1,ok
atlas_eu_zapadna_evropa,Zapadna Europa,zapadna_evropa.png,atlas_eu_zapadna_evropa.png,pregledna,Zapadna Europa,active,yes,atlas_eu_zapadna_evropa.webp,atlas_eu_zapadna_evropa_thumb.webp,1536,1024,1536,1024,640,427,490.9,65.1,ok
atlas_eu_sredisnja_evropa,Središnja Europa,sredisnja_evropa.png,atlas_eu_sredisnja_evropa.png,pregledna,Središnja Europa,active,yes,atlas_eu_sredisnja_evropa.webp,atlas_eu_sredisnja_evropa_thumb.webp,1536,1024,1536,1024,640,427,643.3,92.0,ok
atlas_eu_baltik,Baltik,baltik.png,atlas_eu_baltik.png,pregledna,Baltik,active,yes,atlas_eu_baltik.webp,atlas_eu_baltik_thumb.webp,1536,1024,1536,1024,640,427,586.4,84.1,ok
atlas_eu_nordijske,Nordijske zemlje,nordijske.png,atlas_eu_nordijske.png,pregledna,Nordijske zemlje,active,yes,atlas_eu_nordijske.webp,atlas_eu_nordijske_thumb.webp,1536,1024,1536,1024,640,427,585.8,72.2,ok
atlas_hr_hrvatska,Hrvatska,hrvatska.png,atlas_hr_hrvatska.png,drzavna,Jugoistočna Europa,active,yes,atlas_hr_hrvatska.webp,atlas_hr_hrvatska_thumb.webp,1535,1024,1535,1024,640,427,538.0,80.1,ok
atlas_ba_bosna_i_hercegovina,Bosna i Hercegovina,bosna.png,atlas_ba_bosna_i_hercegovina.png,drzavna,Balkan,active,yes,atlas_ba_bosna_i_hercegovina.webp,atlas_ba_bosna_i_hercegovina_thumb.webp,1535,1024,1535,1024,640,427,558.1,85.7,ok
atlas_rs_srbija,Srbija,srbija.png,atlas_rs_srbija.png,drzavna,Balkan,active,yes,atlas_rs_srbija.webp,atlas_rs_srbija_thumb.webp,1024,1536,1024,1536,640,960,476.7,162.9,ok
atlas_it_italija,Italija,italija.png,atlas_it_italija.png,drzavna,Mediteran,active,yes,atlas_it_italija.webp,atlas_it_italija_thumb.webp,1535,1024,1535,1024,640,427,527.9,76.3,ok
atlas_fr_francuska,Francuska,francuska.png,atlas_fr_francuska.png,drzavna,Zapadna Europa,active,yes,atlas_fr_francuska.webp,atlas_fr_francuska_thumb.webp,1536,1024,1536,1024,640,427,568.8,78.5,ok
atlas_de_njemacka,Njemačka,njemacka.png,atlas_de_njemacka.png,drzavna,Srednja Europa,active,yes,atlas_de_njemacka.webp,atlas_de_njemacka_thumb.webp,1535,1024,1535,1024,640,427,570.9,79.0,ok
atlas_pl_poljska,Poljska,poljska.png,atlas_pl_poljska.png,drzavna,Istočna/Srednja Europa,active,yes,atlas_pl_poljska.webp,atlas_pl_poljska_thumb.webp,1535,1024,1535,1024,640,427,607.9,91.7,ok
atlas_hu_madjarska,Mađarska,madjarska.png,atlas_hu_madjarska.png,drzavna,Panonski prostor,active,yes,atlas_hu_madjarska.webp,atlas_hu_madjarska_thumb.webp,1536,1024,1536,1024,640,427,562.2,83.9,ok
atlas_es_spanjolska,Španjolska,spanjolska.png,atlas_es_spanjolska.png,drzavna,Mediteran,active,yes,atlas_es_spanjolska.webp,atlas_es_spanjolska_thumb.webp,1536,1024,1536,1024,640,427,604.4,85.1,ok
atlas_pt_portugal,Portugal,portugal.png,atlas_pt_portugal.png,drzavna,Atlantik,active,yes,atlas_pt_portugal.webp,atlas_pt_portugal_thumb.webp,1024,1536,1024,1536,640,960,598.4,193.5,ok
atlas_mt_malta,Malta,malta.png,atlas_mt_malta.png,drzavna,Mediteran,active,yes,atlas_mt_malta.webp,atlas_mt_malta_thumb.webp,1535,1024,1535,1024,640,427,543.0,78.2,ok
atlas_at_ch_austrija_svicarska,Austrija i Švicarska,AU_CH.png,atlas_at_ch_austrija_svicarska.png,regionalna,Alpe,active,yes,atlas_at_ch_austrija_svicarska.webp,atlas_at_ch_austrija_svicarska_thumb.webp,1536,1024,1536,1024,640,427,476.6,70.4,ok
atlas_cz_sk_ceska_slovacka,Češka i Slovačka,ceska_i_slovacka.png,atlas_cz_sk_ceska_slovacka.png,regionalna,Srednja Europa,active,yes,atlas_cz_sk_ceska_slovacka.webp,atlas_cz_sk_ceska_slovacka_thumb.webp,1536,1024,1536,1024,640,427,439.0,68.6,ok
atlas_ua_md_ukrajina_moldavija,Ukrajina i Moldavija,ukrajina_moldavija.png,atlas_ua_md_ukrajina_moldavija.png,regionalna,Istočna Europa,active,yes,atlas_ua_md_ukrajina_moldavija.webp,atlas_ua_md_ukrajina_moldavija_thumb.webp,1536,1024,1536,1024,640,427,510.5,75.0,ok
