source	slug	source_bytes	web_bytes	thumb_bytes	source_dimensions	web_dimensions	thumb_dimensions	web	thumb
"ChatGPT Image 19. svi 2026. 19_38_07.png"	chatgpt-image-19-svi-2026-19-38-07	2181654	252830	37670	1536x1024	1536x1024	520x347	https://drycured.com/wp-content/uploads/drycured/infografike-greske-web/web/chatgpt-image-19-svi-2026-19-38-07.webp	https://drycured.com/wp-content/uploads/drycured/infografike-greske-web/thumb/chatgpt-image-19-svi-2026-19-38-07.webp
"ChatGPT Image 19. svi 2026. 20_30_04.png"	chatgpt-image-19-svi-2026-20-30-04	2259773	269992	41340	1536x1024	1536x1024	520x347	https://drycured.com/wp-content/uploads/drycured/infografike-greske-web/web/chatgpt-image-19-svi-2026-20-30-04.webp	https://drycured.com/wp-content/uploads/drycured/infografike-greske-web/thumb/chatgpt-image-19-svi-2026-20-30-04.webp
"ChatGPT Image 20. svi 2026. 16_40_39.png"	chatgpt-image-20-svi-2026-16-40-39	2302008	220884	36972	1448x1086	1448x1086	520x390	https://drycured.com/wp-content/uploads/drycured/infografike-greske-web/web/chatgpt-image-20-svi-2026-16-40-39.webp	https://drycured.com/wp-content/uploads/drycured/infografike-greske-web/thumb/chatgpt-image-20-svi-2026-16-40-39.webp
"ChatGPT Image 19. svi 2026. 20_17_40.png"	chatgpt-image-19-svi-2026-20-17-40	2060878	236588	37940	1536x1024	1536x1024	520x347	https://drycured.com/wp-content/uploads/drycured/infografike-greske-web/web/chatgpt-image-19-svi-2026-20-17-40.webp	https://drycured.com/wp-content/uploads/drycured/infografike-greske-web/thumb/chatgpt-image-19-svi-2026-20-17-40.webp
"ChatGPT Image 19. svi 2026. 16_01_43.png"	chatgpt-image-19-svi-2026-16-01-43	2074602	221294	35524	1536x1024	1536x1024	520x347	https://drycured.com/wp-content/uploads/drycured/infografike-greske-web/web/chatgpt-image-19-svi-2026-16-01-43.webp	https://drycured.com/wp-content/uploads/drycured/infografike-greske-web/thumb/chatgpt-image-19-svi-2026-16-01-43.webp
"ChatGPT Image 19. svi 2026. 18_04_34.png"	chatgpt-image-19-svi-2026-18-04-34	1982890	219836	35174	1536x1024	1536x1024	520x347	https://drycured.com/wp-content/uploads/drycured/infografike-greske-web/web/chatgpt-image-19-svi-2026-18-04-34.webp	https://drycured.com/wp-content/uploads/drycured/infografike-greske-web/thumb/chatgpt-image-19-svi-2026-18-04-34.webp
"ChatGPT Image 19. svi 2026. 16_02_05.png"	chatgpt-image-19-svi-2026-16-02-05	2476033	264630	43234	1448x1086	1448x1086	520x390	https://drycured.com/wp-content/uploads/drycured/infografike-greske-web/web/chatgpt-image-19-svi-2026-16-02-05.webp	https://drycured.com/wp-content/uploads/drycured/infografike-greske-web/thumb/chatgpt-image-19-svi-2026-16-02-05.webp
"ChatGPT Image 19. svi 2026. 16_53_29.png"	chatgpt-image-19-svi-2026-16-53-29	2088470	244812	38714	1536x1024	1536x1024	520x347	https://drycured.com/wp-content/uploads/drycured/infografike-greske-web/web/chatgpt-image-19-svi-2026-16-53-29.webp	https://drycured.com/wp-content/uploads/drycured/infografike-greske-web/thumb/chatgpt-image-19-svi-2026-16-53-29.webp
"ChatGPT Image 19. svi 2026. 19_49_43.png"	chatgpt-image-19-svi-2026-19-49-43	2164820	255590	39728	1536x1024	1536x1024	520x347	https://drycured.com/wp-content/uploads/drycured/infografike-greske-web/web/chatgpt-image-19-svi-2026-19-49-43.webp	https://drycured.com/wp-content/uploads/drycured/infografike-greske-web/thumb/chatgpt-image-19-svi-2026-19-49-43.webp
"ChatGPT Image 19. svi 2026. 20_45_48.png"	chatgpt-image-19-svi-2026-20-45-48	2169471	248164	37762	1536x1024	1536x1024	520x347	https://drycured.com/wp-content/uploads/drycured/infografike-greske-web/web/chatgpt-image-19-svi-2026-20-45-48.webp	https://drycured.com/wp-content/uploads/drycured/infografike-greske-web/thumb/chatgpt-image-19-svi-2026-20-45-48.webp
