=== PRE-QUARANTINE INVENTORY ===
--- MU-plugin .bak files ---
2026-05-06 15:25 17988 /var/www/html/wp-content/mu-plugins/drycured-gtranslate.php.bak-2026-05-06-1525
2026-05-06 15:33 3530 /var/www/html/wp-content/mu-plugins/drycured-home-layout-fix.php.bak-2026-05-06-1533
2026-05-06 17:23 16535 /var/www/html/wp-content/mu-plugins/drycured-infografike.php.bak-2026-05-06-1723
2026-05-06 17:26 19121 /var/www/html/wp-content/mu-plugins/drycured-infografike.php.bak-before-autoslot-fix-2026-05-06-1726
2026-05-06 17:30 19902 /var/www/html/wp-content/mu-plugins/drycured-infografike.php.bak-routefix-2026-05-06-1730
2026-05-06 17:33 20740 /var/www/html/wp-content/mu-plugins/drycured-infografike.php.bak-single-view-polish-2026-05-06-1733
2026-05-06 18:08 7007 /var/www/html/wp-content/mu-plugins/drycured-book-preview.php.bak-2026-05-06-1808
2026-05-06 18:12 7007 /var/www/html/wp-content/mu-plugins/drycured-book-preview.php.bak-3dflipbook-2026-05-06-1812
2026-05-06 18:15 7121 /var/www/html/wp-content/mu-plugins/drycured-book-preview.php.bak-bigger-viewer-2026-05-06-1815
2026-05-06 18:19 7902 /var/www/html/wp-content/mu-plugins/drycured-book-preview.php.bak-compact-book-first-2026-05-06-1819
2026-05-06 18:24 8757 /var/www/html/wp-content/mu-plugins/drycured-book-preview.php.bak-book-flow-2026-05-06-1824
2026-05-06 18:44 11278 /var/www/html/wp-content/mu-plugins/drycured-book-preview.php.bak-book-only-inquiry-2026-05-06-1844
2026-05-12 14:48 22818 /var/www/html/wp-content/mu-plugins/drycured-auth.php.bak-reg-filter-2026-05-12-1448
2026-05-12 15:05 11783 /var/www/html/wp-content/mu-plugins/drycured-auth.js.bak-toggle-2026-05-12-1505
2026-05-12 15:05 13482 /var/www/html/wp-content/mu-plugins/drycured-auth.css.bak-toggle-2026-05-12-1505
2026-05-12 17:21 23153 /var/www/html/wp-content/mu-plugins/drycured-auth.php.bak-account-settings-2026-05-12-1721
2026-05-12 17:23 23259 /var/www/html/wp-content/mu-plugins/drycured-auth.php.bak-fix-ternary-2026-05-12-1723
2026-05-12 17:25 14779 /var/www/html/wp-content/mu-plugins/drycured-auth.css.bak-bbp-profile-edit-2026-05-12-1725
2026-05-12 17:26 17059 /var/www/html/wp-content/mu-plugins/drycured-auth.css.bak-bbp-profile-layout-2026-05-12-1726
2026-05-12 17:29 19160 /var/www/html/wp-content/mu-plugins/drycured-auth.css.bak-profile-polish-2026-05-12-1729
2026-05-12 17:31 28129 /var/www/html/wp-content/mu-plugins/drycured-auth.css.bak-header-stabilizer-2026-05-12-1731
2026-05-12 17:34 30661 /var/www/html/wp-content/mu-plugins/drycured-auth.css.bak-header-align-final-2026-05-12-1734
2026-05-12 17:35 33392 /var/www/html/wp-content/mu-plugins/drycured-auth.css.bak-real-header-fix-2026-05-12-1735
2026-05-12 17:49 35501 /var/www/html/wp-content/mu-plugins/drycured-auth.css.bak-bbp-header-offset-2026-05-12-1749
2026-05-12 17:51 37053 /var/www/html/wp-content/mu-plugins/drycured-auth.css.bak-header-grid-final-2026-05-12-1751
2026-05-12 17:54 39758 /var/www/html/wp-content/mu-plugins/drycured-auth.css.bak-before-header-clean-2026-05-12-1754
2026-05-12 18:00 42613 /var/www/html/wp-content/mu-plugins/drycured-auth.css.bak-remove-header-experiments-2026-05-12-1800
2026-05-12 18:02 28132 /var/www/html/wp-content/mu-plugins/drycured-auth.css.bak-clean-header-mess-2026-05-12-1802
2026-05-12 18:04 28132 /var/www/html/wp-content/mu-plugins/drycured-auth.css.bak-fullwidth-header-2026-05-12-1804
2026-05-12 18:06 29467 /var/www/html/wp-content/mu-plugins/drycured-auth.css.bak-header-full-bleed-bg-2026-05-12-1806
2026-05-12 18:07 30638 /var/www/html/wp-content/mu-plugins/drycured-auth.css.bak-before-header-final-clean-2026-05-12-1807
2026-05-12 18:12 23352 /var/www/html/wp-content/mu-plugins/drycured-auth.php.bak-safe-before-header-clean-2026-05-12-1812
2026-05-12 18:12 28133 /var/www/html/wp-content/mu-plugins/drycured-auth.css.bak-safe-before-header-clean-2026-05-12-1812
2026-05-12 18:32 23352 /var/www/html/wp-content/mu-plugins/drycured-auth.php.bak-before-profile-settings-2026-05-12-1832
2026-05-12 18:32 28133 /var/www/html/wp-content/mu-plugins/drycured-auth.css.bak-before-profile-settings-2026-05-12-1832
2026-05-12 18:49 23352 /var/www/html/wp-content/mu-plugins/drycured-auth.php.bak-profile-settings-link-2026-05-12-1849
2026-05-12 18:49 28133 /var/www/html/wp-content/mu-plugins/drycured-auth.css.bak-profile-settings-design-2026-05-12-1849
2026-05-12 18:52 10414 /var/www/html/wp-content/mu-plugins/drycured-profile-settings.php.bak-full-fields-2026-05-12-1852
2026-05-12 18:56 16758 /var/www/html/wp-content/mu-plugins/drycured-profile-settings.php.bak-sidebar-polish-2026-05-12-1856
2026-05-12 19:08 516 /var/www/html/wp-content/mu-plugins/drycured-admin-guard.php.bak-hide-adminbar-2026-05-12-1908
2026-05-12 19:42 23352 /var/www/html/wp-content/mu-plugins/drycured-auth.php.bak-final-profile-link-2026-05-12-1942
2026-05-12 19:47 23373 /var/www/html/wp-content/mu-plugins/drycured-auth.php.bak-final-dropdown-postavke-2026-05-12-1947
2026-05-12 19:51 23356 /var/www/html/wp-content/mu-plugins/drycured-auth.php.bak-fix-edit-url-final-2026-05-12-1951
2026-05-12 19:54 23356 /var/www/html/wp-content/mu-plugins/drycured-auth.php.bak-edit-url-manual-2026-05-12-1954
2026-05-12 19:56 23216 /var/www/html/wp-content/mu-plugins/drycured-auth.php.bak-repair-render-dropdown-2026-05-12-1956
--- Rejected ZIP files ---
2026-05-18 18:05 1567903 /var/www/html/wp-content/uploads/drycured/infografike-greske-staging/2026-05-21/_rejected_crossed/Drycured_INF_PACK_01_greske_rjesenja.zip
2026-05-18 18:18 872709 /var/www/html/wp-content/uploads/drycured/infografike-greske-staging/2026-05-21/_rejected_crossed/Drycured_p13_i01_case_hardening.zip
