post_type	ID	post_title	post_name	title_status	description_status
dry_recipe	2860	Šokačka kobasica by Davor	sokacka-kobasica-by-davor	MISSING_TITLE	MISSING_DESC
dry_recipe	2859	IstARSKA KOBASICA	istarska-kobasica-2	MISSING_TITLE	MISSING_DESC
dry_recipe	2353	Pastërma (Albansko suho meso)	pasterma-albansko-suho-meso	MISSING_TITLE	MISSING_DESC
dry_recipe	2354	Suxhuk (Albanska suha kobasica)	suxhuk-albanska-suha-kobasica	MISSING_TITLE	MISSING_DESC
dry_recipe	2355	Proshuta Shqiptare (Albanska pršuta)	proshuta-shqiptare-albanska-prsuta	MISSING_TITLE	MISSING_DESC
dry_recipe	2356	Kackavall i thatë (Albanski suhi sir)	kackavall-i-thate-albanski-suhi-sir	MISSING_TITLE	MISSING_DESC
dry_recipe	2357	Mish i thatë (Albanska suha janjetina)	mish-i-thate-albanska-suha-janjetina	MISSING_TITLE	MISSING_DESC
dry_recipe	2358	Steirischer Rohschinken (Štajerska sirova šunka)	steirischer-rohschinken-stajerska-sirova-sunka	MISSING_TITLE	MISSING_DESC
dry_recipe	2359	Vorarlberger Mostbröckle (Vorarlberška dimljena govedina)	vorarlberger-mostbrockle-vorarlberska-dimljena-govedina	MISSING_TITLE	MISSING_DESC
dry_recipe	2360	Austrijska Käsekrainer (Kobasica sa sirom)	austrijska-kasekrainer-kobasica-sa-sirom	MISSING_TITLE	MISSING_DESC
dry_recipe	2361	Mađarska Gyulai Kolbász (Gyulai kobasica)	madarska-gyulai-kolbasz-gyulai-kobasica	MISSING_TITLE	MISSING_DESC
dry_recipe	2362	Finska Meetvursti (Suha kobasica)	finska-meetvursti-suha-kobasica	MISSING_TITLE	MISSING_DESC
dry_recipe	2363	Sastojci za 10 kg mesa:	sastojci-za-10-kg-mesa	MISSING_TITLE	MISSING_DESC
dry_recipe	2373	FILET D'ANVERS (ANTVERPSKI FILE)	filet-danvers-antverpski-file	MISSING_TITLE	MISSING_DESC
dry_recipe	2374	SAUCISSE AU FROMAGE DE HERVE (KOBASICA SA SIROM HERVE)	saucisse-au-fromage-de-herve-kobasica-sa-sirom-herve	MISSING_TITLE	MISSING_DESC
dry_recipe	2375	COLLIER FUMÉ DE WALLONIE (DIMLJENI SVINJSKI VRAT IZ VALONIJE)	collier-fume-de-wallonie-dimljeni-svinjski-vrat-iz-valonije	MISSING_TITLE	MISSING_DESC
dry_recipe	2376	JAMBON D'ARDENNE (ARDENSKI PRŠUT)	jambon-dardenne-ardenski-prsut	MISSING_TITLE	MISSING_DESC
dry_recipe	2377	PÂTÉ GAUMAIS (GAUME PAŠTETA)	pate-gaumais-gaume-pasteta	MISSING_TITLE	MISSING_DESC
dry_recipe	2378	TÊTE PRESSÉE (PREZVURŠT)	tete-pressee-prezvurst	MISSING_TITLE	MISSING_DESC
dry_recipe	2379	BOULETTE DE LIÈGE (LIEŠKA MESNA KOBASICA)	boulette-de-liege-lieska-mesna-kobasica	MISSING_TITLE	MISSING_DESC
dry_recipe	2380	SAUCISSON D'ARDENNE (ARDENSKI KULEN)	saucisson-dardenne-ardenski-kulen-2	MISSING_TITLE	MISSING_DESC
dry_recipe	2381	Nadenitsa (Наденица)	nadenitsa-%d0%bd%d0%b0%d0%b4%d0%b5%d0%bd%d0%b8%d1%86%d0%b0	MISSING_TITLE	MISSING_DESC
dry_recipe	2382	Rulopep (Рулопеп)	rulopep-%d1%80%d1%83%d0%bb%d0%be%d0%bf%d0%b5%d0%bf	MISSING_TITLE	MISSING_DESC
dry_recipe	2383	Banska Kapama (Банска капама)	banska-kapama-%d0%b1%d0%b0%d0%bd%d1%81%d0%ba%d0%b0-%d0%ba%d0%b0%d0%bf%d0%b0%d0%bc%d0%b0	MISSING_TITLE	MISSING_DESC
dry_recipe	2384	Katino Meze (Катино мезе)	katino-meze-%d0%ba%d0%b0%d1%82%d0%b8%d0%bd%d0%be-%d0%bc%d0%b5%d0%b7%d0%b5	MISSING_TITLE	MISSING_DESC
dry_recipe	2385	Drobsarma (Дробсарма)	drobsarma-%d0%b4%d1%80%d0%be%d0%b1%d1%81%d0%b0%d1%80%d0%bc%d0%b0	MISSING_TITLE	MISSING_DESC
dry_recipe	2386	Maleshevska Babichka (Малешевска бабичка)	maleshevska-babichka-%d0%bc%d0%b0%d0%bb%d0%b5%d1%88%d0%b5%d0%b2%d1%81%d0%ba%d0%b0-%d0%b1%d0%b0%d0%b1%d0%b8%d1%87%d0%ba%d0%b0	MISSING_TITLE	MISSING_DESC
dry_recipe	2387	Kraishte Pastarma (Краищенска пастърма)	kraishte-pastarma-%d0%ba%d1%80%d0%b0%d0%b8%d1%89%d0%b5%d0%bd%d1%81%d0%ba%d0%b0-%d0%bf%d0%b0%d1%81%d1%82%d1%8a%d1%80%d0%bc%d0%b0	MISSING_TITLE	MISSING_DESC
dry_recipe	2388	Strandzhansko Dyado (Странджанско дядо)	strandzhansko-dyado-%d1%81%d1%82%d1%80%d0%b0%d0%bd%d0%b4%d0%b6%d0%b0%d0%bd%d1%81%d0%ba%d0%be-%d0%b4%d1%8f%d0%b4%d0%be	MISSING_TITLE	MISSING_DESC
dry_recipe	2389	Srednogorska Kaska (Средногорска каска)	srednogorska-kaska-%d1%81%d1%80%d0%b5%d0%b4%d0%bd%d0%be%d0%b3%d0%be%d1%80%d1%81%d0%ba%d0%b0-%d0%ba%d0%b0%d1%81%d0%ba%d0%b0	MISSING_TITLE	MISSING_DESC
dry_recipe	2390	Dobrudzhanski Babek (Добруджански бабек)	dobrudzhanski-babek-%d0%b4%d0%be%d0%b1%d1%80%d1%83%d0%b4%d0%b6%d0%b0%d0%bd%d1%81%d0%ba%d0%b8-%d0%b1%d0%b0%d0%b1%d0%b5%d0%ba	MISSING_TITLE	MISSING_DESC
dry_recipe	2391	Lukanka (Луканка)	lukanka-%d0%bb%d1%83%d0%ba%d0%b0%d0%bd%d0%ba%d0%b0	MISSING_TITLE	MISSING_DESC
dry_recipe	2392	Sudjuk (Суджук)	sudjuk-%d1%81%d1%83%d0%b4%d0%b6%d1%83%d0%ba	MISSING_TITLE	MISSING_DESC
dry_recipe	2393	Elena filet (Еленски филе)	elena-filet-%d0%b5%d0%bb%d0%b5%d0%bd%d1%81%d0%ba%d0%b8-%d1%84%d0%b8%d0%bb%d0%b5	MISSING_TITLE	MISSING_DESC
dry_recipe	2394	Pastarma (Пастърма)	pastarma-%d0%bf%d0%b0%d1%81%d1%82%d1%8a%d1%80%d0%bc%d0%b0	MISSING_TITLE	MISSING_DESC
dry_recipe	2395	Banski Starec (Бански старец)	banski-starec-%d0%b1%d0%b0%d0%bd%d1%81%d0%ba%d0%b8-%d1%81%d1%82%d0%b0%d1%80%d0%b5%d1%86	MISSING_TITLE	MISSING_DESC
dry_recipe	2396	Sastojci (za 5 kg kobasica)	sastojci-za-5-kg-kobasica	MISSING_TITLE	MISSING_DESC
dry_recipe	2398	Traditionele Droge Worst (Klasična suha kobasica)	traditionele-droge-worst-klasicna-suha-kobasica	MISSING_TITLE	MISSING_DESC
dry_recipe	2399	Rookworst (Dimljena kobasica)	rookworst-dimljena-kobasica	MISSING_TITLE	MISSING_DESC
dry_recipe	2402	Lountza (Λούντζα)	lountza-%ce%bb%ce%bf%cf%8d%ce%bd%cf%84%ce%b6%ce%b1	MISSING_TITLE	MISSING_DESC
dry_recipe	2403	Hiromeri (Χοιρομέρι)	hiromeri-%cf%87%ce%bf%ce%b9%cf%81%ce%bf%ce%bc%ce%ad%cf%81%ce%b9	MISSING_TITLE	MISSING_DESC
dry_recipe	2407	Lounza (Λούντζα) - Dimljena svinjska potrbušina	lounza-%ce%bb%ce%bf%cf%8d%ce%bd%cf%84%ce%b6%ce%b1-dimljena-svinjska-potrbusina	MISSING_TITLE	MISSING_DESC
dry_recipe	2408	Tsamarella (Τσαμαρέλλα) - Sušena kozletina	tsamarella-%cf%84%cf%83%ce%b1%ce%bc%ce%b1%cf%81%ce%ad%ce%bb%ce%bb%ce%b1-susena-kozletina	MISSING_TITLE	MISSING_DESC
