recipe_id,taxonomy,term_name,term_slug,term_status,existing_term_id,notes
MD-TIROLER_SPECK_TIROLSKA_SLANINA,dry_country,Austrija,austrija,existing,251,"aligned with existing WP dry_country term from matched recipe post"
MD-TIROLER_SPECK_TIROLSKA_SLANINA,dry_region,Tirol,tirol,to_create_review,,"review before creating clean term"
MD-TIROLER_SPECK_TIROLSKA_SLANINA,dry_product_category,Slanina,slanina,existing,699,"existing WP term"
MD-TIROLER_SPECK_TIROLSKA_SLANINA,dry_meat_type,Svinjetina,svinjetina,existing,171,"existing WP term"
MD-TIROLER_SPECK_TIROLSKA_SLANINA,dry_process_type,Dimljeno,dimljeno,existing,166,"existing WP term"
MD-TIROLER_SPECK_TIROLSKA_SLANINA,dry_process_type,Sušeno,suseno,existing,160,"existing WP term"
MD-TIROLER_SPECK_TIROLSKA_SLANINA,dry_process_type,Soljeno,soljeno,existing,653,"existing WP term"
MD-TIROLER_SPECK_TIROLSKA_SLANINA,dry_process_type,Kuhano,kuhano,existing,301,"existing WP term"
MD-WALDVIERTLER_HIRSCHSALAMI_SALAMA_OD_JELENA_IZ_WALDVIERTELA,dry_country,Austrija,austrija,existing,251,"aligned with existing WP dry_country term from matched recipe post"
MD-WALDVIERTLER_HIRSCHSALAMI_SALAMA_OD_JELENA_IZ_WALDVIERTELA,dry_region,Waldviertel,waldviertel,to_create_review,,"review before creating clean term"
MD-WALDVIERTLER_HIRSCHSALAMI_SALAMA_OD_JELENA_IZ_WALDVIERTELA,dry_product_category,Salama,salama,existing,686,"existing WP term"
MD-WALDVIERTLER_HIRSCHSALAMI_SALAMA_OD_JELENA_IZ_WALDVIERTELA,dry_meat_type,Svinjetina,svinjetina,existing,171,"existing WP term"
MD-WALDVIERTLER_HIRSCHSALAMI_SALAMA_OD_JELENA_IZ_WALDVIERTELA,dry_process_type,Dimljeno,dimljeno,existing,166,"existing WP term"
MD-WALDVIERTLER_HIRSCHSALAMI_SALAMA_OD_JELENA_IZ_WALDVIERTELA,dry_process_type,Sušeno,suseno,existing,160,"existing WP term"
MD-WALDVIERTLER_HIRSCHSALAMI_SALAMA_OD_JELENA_IZ_WALDVIERTELA,dry_process_type,Fermentirano,fermentirano,existing,161,"existing WP term"
MD-WALDVIERTLER_HIRSCHSALAMI_SALAMA_OD_JELENA_IZ_WALDVIERTELA,dry_process_type,Soljeno,soljeno,existing,653,"existing WP term"
MD-WALDVIERTLER_HIRSCHSALAMI_SALAMA_OD_JELENA_IZ_WALDVIERTELA,dry_process_type,Kuhano,kuhano,existing,301,"existing WP term"
MD-AUSTRIJSKA_KASEKRAINER_KOBASICA_SA_SIROM,dry_country,Austrija,austrija,existing,251,"aligned with existing WP dry_country term from matched recipe post"
MD-AUSTRIJSKA_KASEKRAINER_KOBASICA_SA_SIROM,dry_region,Tirol,tirol,to_create_review,,"review before creating clean term"
MD-AUSTRIJSKA_KASEKRAINER_KOBASICA_SA_SIROM,dry_product_category,Kobasica,kobasica,existing,654,"existing WP term"
MD-AUSTRIJSKA_KASEKRAINER_KOBASICA_SA_SIROM,dry_meat_type,Svinjetina,svinjetina,existing,171,"existing WP term"
MD-AUSTRIJSKA_KASEKRAINER_KOBASICA_SA_SIROM,dry_process_type,Dimljeno,dimljeno,existing,166,"existing WP term"
MD-AUSTRIJSKA_KASEKRAINER_KOBASICA_SA_SIROM,dry_process_type,Sušeno,suseno,existing,160,"existing WP term"
MD-AUSTRIJSKA_KASEKRAINER_KOBASICA_SA_SIROM,dry_process_type,Soljeno,soljeno,existing,653,"existing WP term"
MD-AUSTRIJSKA_KASEKRAINER_KOBASICA_SA_SIROM,dry_process_type,Kuhano,kuhano,existing,301,"existing WP term"
MD-MADARSKA_GYULAI_KOLBASZ_GYULAI_KOBASICA,dry_country,Mađarska,madarska,existing,287,"existing WP term"
MD-MADARSKA_GYULAI_KOLBASZ_GYULAI_KOBASICA,dry_region,Szeged,szeged,to_create_review,,"review before creating clean term"
MD-MADARSKA_GYULAI_KOLBASZ_GYULAI_KOBASICA,dry_product_category,Kobasica,kobasica,existing,654,"existing WP term"
MD-MADARSKA_GYULAI_KOLBASZ_GYULAI_KOBASICA,dry_meat_type,Svinjetina,svinjetina,existing,171,"existing WP term"
MD-MADARSKA_GYULAI_KOLBASZ_GYULAI_KOBASICA,dry_process_type,Dimljeno,dimljeno,existing,166,"existing WP term"
MD-MADARSKA_GYULAI_KOLBASZ_GYULAI_KOBASICA,dry_process_type,Sušeno,suseno,existing,160,"existing WP term"
MD-MADARSKA_GYULAI_KOLBASZ_GYULAI_KOBASICA,dry_process_type,Soljeno,soljeno,existing,653,"existing WP term"
MD-MADARSKA_GYULAI_KOLBASZ_GYULAI_KOBASICA,dry_process_type,Kuhano,kuhano,existing,301,"existing WP term"
MD-LUKANKA_IZ_PANAGYURISHTE,dry_country,Bugarska,bugarska,existing,672,"aligned with existing WP dry_country term from matched recipe post"
MD-LUKANKA_IZ_PANAGYURISHTE,dry_region,Lika,lika,existing,704,"existing WP term"
MD-LUKANKA_IZ_PANAGYURISHTE,dry_product_category,"Cijeli komad",cijeli-komad,existing,832,"mapped_from=Suho meso; existing broader whole-piece category used; no new Suho meso term"
MD-LUKANKA_IZ_PANAGYURISHTE,dry_meat_type,Svinjetina,svinjetina,existing,171,"existing WP term"
MD-LUKANKA_IZ_PANAGYURISHTE,dry_process_type,Dimljeno,dimljeno,existing,166,"existing WP term"
MD-LUKANKA_IZ_PANAGYURISHTE,dry_process_type,Sušeno,suseno,existing,160,"existing WP term"
MD-LUKANKA_IZ_PANAGYURISHTE,dry_process_type,Soljeno,soljeno,existing,653,"existing WP term"
MD-BANSKA_KAPAMA,dry_region,Lika,lika,existing,704,"existing WP term"
MD-BANSKA_KAPAMA,dry_meat_type,Svinjetina,svinjetina,existing,171,"existing WP term"
MD-STRANDZHANSKO_DYADO,dry_country,Bugarska,bugarska,existing,672,"aligned with existing WP dry_country term from matched recipe post"
MD-STRANDZHANSKO_DYADO,dry_region,Strandzha,strandzha,existing,679,"existing WP term"
MD-STRANDZHANSKO_DYADO,dry_product_category,"Cijeli komad",cijeli-komad,existing,832,"mapped_from=Suho meso; existing broader whole-piece category used; no new Suho meso term"
MD-STRANDZHANSKO_DYADO,dry_meat_type,Svinjetina,svinjetina,existing,171,"existing WP term"
MD-STRANDZHANSKO_DYADO,dry_process_type,Dimljeno,dimljeno,existing,166,"existing WP term"
MD-STRANDZHANSKO_DYADO,dry_process_type,Sušeno,suseno,existing,160,"existing WP term"
MD-STRANDZHANSKO_DYADO,dry_process_type,Fermentirano,fermentirano,existing,161,"existing WP term"
MD-STRANDZHANSKO_DYADO,dry_process_type,Soljeno,soljeno,existing,653,"existing WP term"
MD-STRANDZHANSKO_DYADO,dry_process_type,Kuhano,kuhano,existing,301,"existing WP term"
MD-SREDNOGORSKA_KASKA,dry_region,Lika,lika,existing,704,"existing WP term"
MD-SREDNOGORSKA_KASKA,dry_meat_type,Svinjetina,svinjetina,existing,171,"existing WP term"
MD-DOBRUDZHANSKI_BABEK,dry_country,Bugarska,bugarska,existing,672,"aligned with existing WP dry_country term from matched recipe post"
MD-DOBRUDZHANSKI_BABEK,dry_region,Istra,istra,existing,119,"existing WP term"
MD-DOBRUDZHANSKI_BABEK,dry_product_category,"Cijeli komad",cijeli-komad,existing,832,"mapped_from=Suho meso; existing broader whole-piece category used; no new Suho meso term"
MD-DOBRUDZHANSKI_BABEK,dry_meat_type,Svinjetina,svinjetina,existing,171,"existing WP term"
MD-DOBRUDZHANSKI_BABEK,dry_process_type,Dimljeno,dimljeno,existing,166,"existing WP term"
MD-DOBRUDZHANSKI_BABEK,dry_process_type,Sušeno,suseno,existing,160,"existing WP term"
MD-DOBRUDZHANSKI_BABEK,dry_process_type,Fermentirano,fermentirano,existing,161,"existing WP term"
MD-DOBRUDZHANSKI_BABEK,dry_process_type,Soljeno,soljeno,existing,653,"existing WP term"
MD-DOBRUDZHANSKI_BABEK,dry_process_type,Kuhano,kuhano,existing,301,"existing WP term"
MD-GRCKA_TRADICIONALNI_RECEPTI_ZA_LOUKANIKO,dry_country,Grčka,grcka,existing,232,"aligned with existing WP dry_country term from matched recipe post"
MD-GRCKA_TRADICIONALNI_RECEPTI_ZA_LOUKANIKO,dry_region,Lika,lika,existing,704,"existing WP term"
MD-GRCKA_TRADICIONALNI_RECEPTI_ZA_LOUKANIKO,dry_product_category,Kobasica,kobasica,existing,654,"existing WP term"
MD-GRCKA_TRADICIONALNI_RECEPTI_ZA_LOUKANIKO,dry_meat_type,Svinjetina,svinjetina,existing,171,"existing WP term"
MD-GRCKA_TRADICIONALNI_RECEPTI_ZA_LOUKANIKO,dry_process_type,Sušeno,suseno,existing,160,"existing WP term"
MD-GRCKA_TRADICIONALNI_RECEPTI_ZA_LOUKANIKO,dry_process_type,Soljeno,soljeno,existing,653,"existing WP term"
MD-GRCKA_TRADICIONALNI_RECEPTI_ZA_LOUKANIKO,dry_process_type,Kuhano,kuhano,existing,301,"existing WP term"
MD-JOULUKINKKU_BOZICNA_SUNKA,dry_country,Finska,finska,existing,659,"aligned with existing WP dry_country term from matched recipe post"
MD-JOULUKINKKU_BOZICNA_SUNKA,dry_region,Lika,lika,existing,704,"existing WP term"
MD-JOULUKINKKU_BOZICNA_SUNKA,dry_product_category,Šunka,sunka,existing,658,"existing WP term"
MD-JOULUKINKKU_BOZICNA_SUNKA,dry_meat_type,Svinjetina,svinjetina,existing,171,"existing WP term"
MD-JOULUKINKKU_BOZICNA_SUNKA,dry_process_type,Sušeno,suseno,existing,160,"existing WP term"
MD-JOULUKINKKU_BOZICNA_SUNKA,dry_process_type,Soljeno,soljeno,existing,653,"existing WP term"
MD-PALVIKINKKU_DIMLJENA_SUNKA,dry_country,Finska,finska,existing,659,"aligned with existing WP dry_country term from matched recipe post"
MD-PALVIKINKKU_DIMLJENA_SUNKA,dry_region,Lika,lika,existing,704,"existing WP term"
MD-PALVIKINKKU_DIMLJENA_SUNKA,dry_product_category,Šunka,sunka,existing,658,"existing WP term"
MD-PALVIKINKKU_DIMLJENA_SUNKA,dry_meat_type,Svinjetina,svinjetina,existing,171,"existing WP term"
MD-PALVIKINKKU_DIMLJENA_SUNKA,dry_process_type,Dimljeno,dimljeno,existing,166,"existing WP term"
MD-PALVIKINKKU_DIMLJENA_SUNKA,dry_process_type,Sušeno,suseno,existing,160,"existing WP term"
MD-PALVIKINKKU_DIMLJENA_SUNKA,dry_process_type,Soljeno,soljeno,existing,653,"existing WP term"
MD-SAUCISSON_SEC_SUHA_KOBASICA,dry_country,Francuska,francuska,existing,235,"existing WP term"
MD-SAUCISSON_SEC_SUHA_KOBASICA,dry_region,Lyon,lyon,existing,279,"existing WP term"
MD-SAUCISSON_SEC_SUHA_KOBASICA,dry_product_category,Kobasica,kobasica,existing,654,"existing WP term"
MD-SAUCISSON_SEC_SUHA_KOBASICA,dry_meat_type,Svinjetina,svinjetina,existing,171,"existing WP term"
MD-SAUCISSON_SEC_SUHA_KOBASICA,dry_process_type,Sušeno,suseno,existing,160,"existing WP term"
MD-SAUCISSON_SEC_SUHA_KOBASICA,dry_process_type,Fermentirano,fermentirano,existing,161,"existing WP term"
MD-SAUCISSON_SEC_SUHA_KOBASICA,dry_process_type,Soljeno,soljeno,existing,653,"existing WP term"
MD-JESUS_DE_LYON_DEBELA_SUHA_KOBASICA,dry_country,Francuska,francuska,existing,235,"aligned with existing WP dry_country term from matched recipe post"
MD-JESUS_DE_LYON_DEBELA_SUHA_KOBASICA,dry_region,Lyon,lyon,existing,279,"existing WP term"
MD-JESUS_DE_LYON_DEBELA_SUHA_KOBASICA,dry_product_category,Kobasica,kobasica,existing,654,"existing WP term"
MD-JESUS_DE_LYON_DEBELA_SUHA_KOBASICA,dry_meat_type,Svinjetina,svinjetina,existing,171,"existing WP term"
MD-JESUS_DE_LYON_DEBELA_SUHA_KOBASICA,dry_process_type,Dimljeno,dimljeno,existing,166,"existing WP term"
MD-JESUS_DE_LYON_DEBELA_SUHA_KOBASICA,dry_process_type,Sušeno,suseno,existing,160,"existing WP term"
MD-JESUS_DE_LYON_DEBELA_SUHA_KOBASICA,dry_process_type,Fermentirano,fermentirano,existing,161,"existing WP term"
MD-JESUS_DE_LYON_DEBELA_SUHA_KOBASICA,dry_process_type,Soljeno,soljeno,existing,653,"existing WP term"
MD-CERVELAS_DE_LYON_LIONSKA_KOBASICA,dry_country,Francuska,francuska,existing,235,"aligned with existing WP dry_country term from matched recipe post"
MD-CERVELAS_DE_LYON_LIONSKA_KOBASICA,dry_region,Lyon,lyon,existing,279,"existing WP term"
MD-CERVELAS_DE_LYON_LIONSKA_KOBASICA,dry_product_category,Kobasica,kobasica,existing,654,"existing WP term"
MD-CERVELAS_DE_LYON_LIONSKA_KOBASICA,dry_meat_type,Svinjetina,svinjetina,existing,171,"existing WP term"
MD-CERVELAS_DE_LYON_LIONSKA_KOBASICA,dry_process_type,Dimljeno,dimljeno,existing,166,"existing WP term"
MD-CERVELAS_DE_LYON_LIONSKA_KOBASICA,dry_process_type,Sušeno,suseno,existing,160,"existing WP term"
MD-CERVELAS_DE_LYON_LIONSKA_KOBASICA,dry_process_type,Fermentirano,fermentirano,existing,161,"existing WP term"
MD-CERVELAS_DE_LYON_LIONSKA_KOBASICA,dry_process_type,Soljeno,soljeno,existing,653,"existing WP term"
MD-CERVELAS_DE_LYON_LIONSKA_KOBASICA,dry_process_type,Kuhano,kuhano,existing,301,"existing WP term"
MD-JESUS_DE_LYON,dry_country,Francuska,francuska,existing,235,"aligned with existing WP dry_country term from matched recipe post"
MD-JESUS_DE_LYON,dry_region,Lyon,lyon,existing,279,"existing WP term"
MD-JESUS_DE_LYON,dry_product_category,Kobasica,kobasica,existing,654,"existing WP term"
MD-JESUS_DE_LYON,dry_meat_type,Svinjetina,svinjetina,existing,171,"existing WP term"
MD-JESUS_DE_LYON,dry_process_type,Dimljeno,dimljeno,existing,166,"existing WP term"
MD-JESUS_DE_LYON,dry_process_type,Sušeno,suseno,existing,160,"existing WP term"
MD-JESUS_DE_LYON,dry_process_type,Fermentirano,fermentirano,existing,161,"existing WP term"
MD-JESUS_DE_LYON,dry_process_type,Soljeno,soljeno,existing,653,"existing WP term"
MD-ROSETTE_DE_LYON,dry_country,Francuska,francuska,existing,235,"aligned with existing WP dry_country term from matched recipe post"
MD-ROSETTE_DE_LYON,dry_region,Lyon,lyon,existing,279,"existing WP term"
MD-ROSETTE_DE_LYON,dry_product_category,Kobasica,kobasica,existing,654,"existing WP term"
MD-ROSETTE_DE_LYON,dry_meat_type,Svinjetina,svinjetina,existing,171,"existing WP term"
MD-ROSETTE_DE_LYON,dry_process_type,Sušeno,suseno,existing,160,"existing WP term"
MD-ROSETTE_DE_LYON,dry_process_type,Fermentirano,fermentirano,existing,161,"existing WP term"
MD-ROSETTE_DE_LYON,dry_process_type,Soljeno,soljeno,existing,653,"existing WP term"
MD-RILLETTES_DU_MANS,dry_country,Francuska,francuska,existing,235,"aligned with existing WP dry_country term from matched recipe post"
MD-RILLETTES_DU_MANS,dry_region,Lika,lika,existing,704,"existing WP term"
MD-RILLETTES_DU_MANS,dry_product_category,"Cijeli komad",cijeli-komad,existing,832,"mapped_from=Suho meso; existing broader whole-piece category used; no new Suho meso term"
MD-RILLETTES_DU_MANS,dry_meat_type,Svinjetina,svinjetina,existing,171,"existing WP term"
MD-RILLETTES_DU_MANS,dry_process_type,Soljeno,soljeno,existing,653,"existing WP term"
MD-RILLETTES_DU_MANS,dry_process_type,Kuhano,kuhano,existing,301,"existing WP term"
MD-SIGLINO_MESSINIAS,dry_country,Grčka,grcka,existing,232,"aligned with existing WP dry_country term from matched recipe post"
MD-SIGLINO_MESSINIAS,dry_region,Lika,lika,existing,704,"existing WP term"
MD-SIGLINO_MESSINIAS,dry_product_category,"Cijeli komad",cijeli-komad,existing,832,"mapped_from=Suho meso; existing broader whole-piece category used; no new Suho meso term"
MD-SIGLINO_MESSINIAS,dry_meat_type,Svinjetina,svinjetina,existing,171,"existing WP term"
MD-SIGLINO_MESSINIAS,dry_process_type,Dimljeno,dimljeno,existing,166,"existing WP term"
MD-SIGLINO_MESSINIAS,dry_process_type,Sušeno,suseno,existing,160,"existing WP term"
MD-SIGLINO_MESSINIAS,dry_process_type,Soljeno,soljeno,existing,653,"existing WP term"
MD-TSIGARIDES,dry_country,Grčka,grcka,existing,232,"aligned with existing WP dry_country term from matched recipe post"
MD-TSIGARIDES,dry_region,Istra,istra,existing,119,"existing WP term"
MD-TSIGARIDES,dry_product_category,"Cijeli komad",cijeli-komad,existing,832,"mapped_from=Suho meso; existing broader whole-piece category used; no new Suho meso term"
